"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Cited by","DOI","Link","Abstract","Author Keywords","Index Keywords","Document Type","Publication Stage","Open Access","Source","EID"
"Shahabi A.","Shahabi, Ali (57200114303)","57200114303","A white-box decision support model for evaluating the suppliers based on the customer-based and viability dimensions: a case study of the e-commerce business","2025","Annals of Operations Research","","","","","","0","10.1007/s10479-025-06940-x","https://www.scopus.com/pages/publications/105022825734?origin=resultslist","With the significant intensification of competition in today’s global marketplace, the importance of supply chain management has been dramatically emphasized. Within this context, one of the most critical managerial tasks is the evaluation of potential suppliers’ performance. In recent years, the restrictions on in-person purchasing caused by the COVID-19 pandemic have further highlighted the growing importance of online shopping and e-commerce businesses. Therefore, this study focuses on the supplier evaluation process in the e-commerce sector by simultaneously considering two crucial perspectives: viability and customer-based dimensions. To achieve this goal, the main evaluation criteria and alternatives are first identified. Then, a white-box, machine learning–based decision support model is proposed by integrating the Random Forest Regression (RFR) and Particle Swarm Optimization (PSO) methods to assess suppliers’ performance based on the selected criteria. The applicability of the developed model is examined through a real-world case study. The obtained results indicate a significant relationship between the quality and robustness indicators. Furthermore, the most influential factors affecting supplier and vendor scores are found to be quality, delivery time, robustness, and cost. In addition, the performance of the proposed model is compared with other benchmark methods, and the results confirm its superior efficiency. Notably, the optimized RFR–PSO model achieves a prediction accuracy of 95.5%, outperforming conventional approaches such as Decision Tree and Artificial Neural Network. Finally, several managerial insights and practical implications are provided based on the findings. © The Author(s), under exclusive licence to Springer Science+Business Media, LLC, part of Springer Nature 2025.","E-commerce business; Machine learning-based decision-making; Supplier selection problem; Viability","","Article","Article in press","","Scopus","2-s2.0-105022825734"
"Gezgin Y.E.","Gezgin, Yusuf Erdem (57852429300)","57852429300","Electronıc Trade Transactıons in the Gold Sector and Its Fıqh Evaluatıon; [Altın Sektöründe Elektronik Ticaret İşlemleri ve Fıkhî Değerlendirmesi]","2022","Hitit Theology Journal","21","1","","259","280","0","10.14395/hid.1063249","https://www.scopus.com/pages/publications/85173820893?origin=resultslist","Trade reflects the relations of individuals in social life and provides information about the development processes of society. According to the commercial life, information is obtained about the socio-economic, socio-cultural structure of that society and, accordingly, the legal developments. Therefore, it is necessary to review the known and applied issues related to commercial law. Electronic commerce stands out as an entirely important example in this perspective. Electronic commerce or buying and selling transactions conducted via the internet, is one of the indispensable forms of shopping in the modern era. Briefly, e-commerce is actively used in the supply of many products that individuals need in parallel with the widespread usage of the internet. In the electronic environment, securities in the form of investment vehicles and jewellery are offered for sale in addition to electronic items, clothing, food, and cleaning products to be used in daily life. E-commerce has a very different structure compared to face-to-face shopping, such as the meeting of the shopping parties in the virtual environment and the delivery of the subject and price of the contract to the parties after a certain period of time. In this context, the parties can recognize the product subject to the contract within the framework of the information declared by the seller. Thus, commercial law has determined rules suitable for the structure of shopping carried out in electronic environments. When compared to other movable and immovable goods, the subject of gold, which is precious in essence, to e-commerce occurs at a later time. The fact that e-commerce has become a more functional and reliable structure naturally favors the sale of gold through this channel. Thus, Muslims are concerned about issues resulting from both the structure of e-commerce and the legal nature of gold. At the beginning of these problems, the legal nature of gold is money and it is necessary to exchange it within the framework of the spending contract. This opinion of the majority of the classical period jurists and the majority of contemporary Islamic jurists was adopted in the study and evaluations were made accordingly. According to this opinion, it is considered problematic to adhere to the rules of the consumption contract in gold transactions in the electronic environment. Within the framework of this basic starting point and different views on details, our research aimed to evaluate the electronic commerce of the gold sector. Jewellers, or the gold industry more generally, seek to sell in a virtual environment as well as in person. They not only sell through their own social media accounts and websites but also through intermediary platforms where a large number of products are offered for sale at the same time, known as marketplaces. Since the asset subject to sale is gold, it is seen that there are different applications within its internal structure. It is the subject of this study whether the terms of the contract of consumption are fulfilled within the context of these various applications. Additionally, another important issue in fiqh evaluations is the methods used in the payments made by the customer to the gold seller company and the way the company delivers the gold products subject to sale to the customer. All these details have been declared in our research. Gold is now used as a financial instrument in the over-the-counter, money, and capital markets. Producers (mines, refineries, mints and workshops), intermediaries (wholesalers and handbags) and jewellers/exchangers who sell gold retail in the over-the-counter markets are all included in the term “gold sector” used in the title of our study. In this sense, the transactions of establishments that sell gold through electronic commerce will be included in the study, taking into account the production stages of gold and the exchanges realized at these stages. Furthermore, gold trades in money and capital markets will not be considered directly as electronic gold trade. However, the Jeweller’s Gold Valuation System (KAD-SIS), which is one of the joint transactions of over-the-counter and financial market aspects, has been particularly examined. The study’s sources are divided into two sections, one dealing with the system’s functioning and the other with fiqh evaluation. Information about the operation was obtained from the e-commerce web pages of the sector representatives and the face-to-face interviews. In the fiqh sense, different sects have been utilized rather than a sectarian system. The sources associated with the operation were compared among themselves and the information obtained was provided. Thus, it is aimed to reveal fiqh evaluations accurately. This approach aims to guide both business representatives and taxpayers who have religious sensitivities and decide to buy gold through e-commerce. Therefore, the permissible and illegal forms of gold exchanges made with modern tools such as e-commerce and KAD-SIS were presented to the researchers. © 2022, Hitit University. All rights reserved.","Bank Cards; Electronic Commerce; Gold; Islamic Law; Jewellery","","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85173820893"
"Gallico D.","Gallico, Dalia (57200207119)","57200207119","Design best. An integrated E-commerce and E-learning innovative platform to promote education for Italian design system (product & process)","2017","Proceedings of the International Conference on ICT, Society and Human Beings 2017 - Part of the Multi Conference on Computer Science and Information Systems 2017","","","","103","110","0","","https://www.scopus.com/pages/publications/85040199191?origin=resultslist","DesignBest concept is born as response to the necessity to create a virtual community (a square) about italian design matters. The extraordinary achievement of communities demonstrated the enormous potentials of technologies in supporting communication and self-production of contents to create strong communities. The program proposes to apply technologies to support a marketplace and to build a community around the education of Italian design. Leveraging the development of ITC technologies, the program integrates innovative web technologies 2.0, in order to: 1) Create, applying the most advanced web technologies 2.0, an environment where all active users (designers, design students, etc..), vendors or buyers, can develop ideas, concepts, events, opinions, about Made in Italy Design, joining potentials of vendors, designers, students, amateurs and curious; 2) Explain Culture of Project, display products' characteristics, allowing the user/buyer to interact to capture the extra value of the product; 3) Use buyer's auto profiling and geo localization data to increase the offer and create feed-back flows which could be translated into networking; 4) Create data exchange with the logistic platform to assure the quality of logistic performance expected from the market; 5) Enable the sale of Design objects between the Italian SMEs (small, medium enterprises) and the potential buyers around the world (the business will focus mainly on the following markets: Brazil, Russia, India, China, Canada, USA, Mexico, Japan, Arab Emirates) trying to support Design SMEs in: - Reach the ""critical mass"" needed to build a wide catalogue of ""Made in Italy"" Design learning corses - Have access to an alternative sales channel, since they cannot bear investments in IT by themselves - Take advantage of DesignBest international visibility to reach new markets - Have access to e-commerce in an easy way (without problems related information technology structure, order management, invoicing, payment and shipment, returns and complaints management) - Leverage some supporting services to international sales and marketing(information, advice, training, data bank, market analysis, etc) - Spread the Italian Design culture through a platform of e-learning addressed to foreign companies and universities. Critical success factors of the project are: - A wide adhesion of Italian design schools to the marketplace, where they can offer part of their own catalogue (also ad hoc courses) exploiting a new channel (e-commerce) and entering on new markets; - The ability to attract the Design community (lovers, designer, students). © 2017.","Design of societal systems - rethinking; E-commerce; E-Learning Models; Higher Education; Learning Theories and Approaches; Managed Learning Environments (MLEs)","Commerce; Computer aided instruction; Curricula; E-learning; Education computing; Electronic commerce; Electronic data interchange; Engineering education; Information management; Investments; Online systems; Product design; Sales; Students; Teaching; Virtual reality; E-learning models; Higher education; Learning Theory; Managed learning environments; Societal systems; Education","Conference paper","Final","","Scopus","2-s2.0-85040199191"
"Zhang D.; Jia Z.","Zhang, Dan (59364781500); Jia, Zhiyang (56669163700)","59364781500; 56669163700","E-Commerce Logistics Software Package Tracking and Route Planning and Optimization System of Embedded Technology Based on the Intelligent Era","2024","IET Computers and Digital Techniques","2024","1","6687853","","","3","10.1049/2024/6687853","https://www.scopus.com/pages/publications/85206216763?origin=resultslist","In the Internet era, the e-commerce industry has risen, its development scale continues to expand, cross-border e-commerce (CBEC) has also been born, and it is now in the stage of sustainable development. The rapid development of CBEC also needs the strong support of logistics, the two are inseparable, and today, the development scale of CBEC is constantly expanding. The existing e-commerce logistics (ECL) model is also gradually unable to meet the increasingly diverse needs of users, and new logistics models need to be actively explored. To change this situation, this paper carried out a specific analysis of CBEC logistics model, and applied embedded technology to ECL, which also built a logistics tracking system. At the same time, combined with the ant colony algorithm, the paper carried out experimental research on the logistics package distribution route planning problem. From the experimental results, in terms of average delivery time, the algorithm’s result was 25.95 hr, while the traditional algorithm was 32.53 hr; in terms of average distribution freight cost, the algorithm’s result was 163.3 yuan, while the traditional algorithm was 257.7 yuan; in terms of average distribution cost, this algorithm’s result was 131.53 yuan, while the traditional algorithm was 211.68 yuan. To sum up, this algorithm could effectively optimize the distribution route of logistics packages and improve the efficiency of package transportation. Copyright © 2024 Dan Zhang and Zhiyang Jia.","","Ant colony optimization; Embedded software; Software packages; Cross-border; Distribution route; E- commerces; Embedded technology; Logistics model; Logistics package; Logistics software; Optimization system; Route optimization; Route planning system; Marketplaces","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85206216763"
"Correia D.M.; Teixeira L.; Marques J.L.","Correia, Diogo Mendes (57226055790); Teixeira, Leonor (22434117100); Marques, João Lourenço (55600379800)","57226055790; 22434117100; 55600379800","The hourglass model: From consumer’s behavior to delivery","2021","Proceedings of the International Conference on Industrial Engineering and Operations Management","","","","1357","1386","2","","https://www.scopus.com/pages/publications/85114238225?origin=resultslist","Through an empirical study of 74 Portuguese e-commerce brands, from the fashion, cosmetics, supplements, jewelry, beverages, utilities, orthopedics, book, sports, technology, decoration, pet, printing, and flowers’ sectors, it was noticed that consumers still do not have the possibility to personalize their products neither to request immediate deliveries or choose an exact delivery time. Nowadays, the Industry is striving to allow consumers to buy the product they want, as they wish, and be delivered in the time and place they choose. The purchase personalization and the supply chain’s arrangement to attend to the demand are expected to be increasingly based on predictive analytics. Prediction shall guide the definition of the supply chain. Moreover, the collaboration between stakeholders through an open marketplace is required to fulfill clients’ needs and desires. Given the observed facts and empirical evidence, this paper highlights the importance of integrating manufacturing and delivery, supported by an Hourglass shared economy prediction-oriented supply chain model. © IEOM Society International.","And Smart Cities; Hourglass Model; Industry 4.0; Smart Manufacturing; Supply Chain","","Conference paper","Final","","Scopus","2-s2.0-85114238225"
"Sturiale L.; Scuderi A.","Sturiale, Luisa (57442738500); Scuderi, Alessandro (55621175200)","57442738500; 55621175200","The marketplaces and the integration between physic and virtual in the business models of fruit and vegetables e-commerce","2017","CEUR Workshop Proceedings","2030","","","79","90","6","","https://www.scopus.com/pages/publications/85040367252?origin=resultslist","The Information and Communication Technologies (ICTs) have become the global platform for exchange, the space where an economic force of global dimensions operates, which has radically modified social and economic behavior. The new ""e-commerce"" frontier is represented by logistics adaptations for sale at Km zero of fresh products and same-day delivery. Amazon fresh (delivering in an hour in some urban areas of the USA) is the most prominent example, but there are other examples in several European countries. The objective of this study is to provide a first contribution to the knowledge of the recent phenomenon of the presence of e-marketplaces in the Italian agri-food economy and the analysis of the new e-commerce models for the fresh fruit and vegetables in Italy. The research is divided into two complementary phases aimed to highlight the propensity to buy fruit and vegetable online and the variables that influence the act of purchase. Copyright © 2017 for this paper by its author","E-commerce models; E-logistic; E-retailer; O2O commerce; Vertical platform","Agriculture; Electronic commerce; Fruits; Vegetables; E-commerce model; e-Logistics; European Countries; Fresh fruit and vegetables; Fruit and vegetables; Global dimension; Information and Communication Technologies; Vertical platform; Commerce","Conference paper","Final","","Scopus","2-s2.0-85040367252"
"Fu T.; Li S.; Li Z.","Fu, Ting (59682163900); Li, Sheng (59917353800); Li, Zhi (57195739262)","59682163900; 59917353800; 57195739262","Research on Collaborative Delivery Path Planning for Trucks and Drones in Parcel Delivery","2025","Sensors","25","10","3087","","","2","10.3390/s25103087","https://www.scopus.com/pages/publications/105006727794?origin=resultslist","With the rapid development of e-commerce, the logistics industry faces multiple challenges, including high delivery costs, long delivery times, and a shortage of delivery personnel. Truck–drone collaborative delivery combines the high load capacity of trucks with the flexibility and speed of drones, offering an innovative and practical solution. This paper proposes the Truck–Drone Collaborative Delivery Routing Problem (TDCRPTW) and develops a multi-objective optimization model that minimizes delivery costs and maximizes time reliability under capacity and time window constraints in multi-truck, multi-drone scenarios. To solve the model, an innovative two-stage solution strategy that combines the adaptive k-means++ clustering algorithm with temperature-controlled memory simulated annealing (TCMSA) is proposed. The experimental results demonstrate that the proposed model reduces delivery costs by 10% to 50% and reduces delivery time by 15% to 40%, showcasing the superiority of the truck–drone collaborative delivery model. Moreover, the proposed algorithm demonstrates outstanding performance and reliability across multiple dimensions. Therefore, the proposed approach provides an efficient solution to the truck–drone collaborative delivery problem and offers valuable insights for enhancing the efficiency and reliability of e-commerce logistics systems. © 2025 by the authors.","e-commerce platform; logistics delivery; route optimization; truck–drone collaborative delivery","Algorithms; Humans; Models, Theoretical; Motor Vehicles; Transportation; Multiobjective optimization; Simulated annealing; Commerce platforms; Delivery costs; Delivery path; Delivery time; E- commerces; E-commerce platform; Logistics delivery; Parcel delivery; Route optimization; Truck–drone collaborative delivery; algorithm; human; motor vehicle; theoretical model; traffic and transport; Marketplaces","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-105006727794"
"Ma P.; Zhang C.; Dou Y.; Ling H.","Ma, Pengfei (59934553100); Zhang, Cheng (56316550200); Dou, Yifan (35193702700); Ling, Hong (54903491900)","59934553100; 56316550200; 35193702700; 54903491900","AS TASTY AS IT LOOKS: EXPLORING THE IMPACT OF IMAGE AESTHETICS ON FOOD DELIVERY SALES","2025","Journal of Electronic Commerce Research","26","2","","117","143","1","","https://www.scopus.com/pages/publications/105007517709?origin=resultslist","Visual presentation is critical in online marketplaces where customers rely on images to evaluate products without physical interaction. This study examines the primary and contingent effects of image aesthetics on product sales by analyzing 5,074 dish images and 506,553 orders from 71 merchants on a leading food delivery platform. We classify signals into promotional and reputational types, with product images serving as promotional signals that help reduce customers’ product uncertainty. Our hypothesis posits that additional information provided by the platform or merchants may either substitute or complement the value of these images, depending on the signal type (i.e., promotional or reputational). To address limitations associated with subjective ratings or low-level image features, we employ a deep learning algorithm to quantify image aesthetics more effectively. Our results show that image aesthetics positively influence sales. This effect is further strengthened by reputational signals (e.g., platform certification) but weakened by other promotional signals (e.g., advertisements). These findings highlight complementary and substitutive effects between different signal types, offering both theoretical insights and practical guidance for visual design strategies in e-commerce. © (2024), (California State University, Long Beach). All Rights Reserved.","Complementarity; Image aesthetics; Moderating effect; Product sales; Product uncertainty","","Article","Final","","Scopus","2-s2.0-105007517709"
"Sasikumar S.; Rishith C.; Rupa Sree S.; Jayasree K.","Sasikumar, S. (57212950391); Rishith, Cheemalapati (58769662300); Rupa Sree, S. (58144082700); Jayasree, K. (58769724600)","57212950391; 58769662300; 58144082700; 58769724600","E-marketplace for farm products","2024","Artificial Intelligence, Blockchain, Computing and Security - Proceedings of the International Conference on Artificial Intelligence, Blockchain, Computing and Security, ICABCS 2023","2","","","376","381","0","10.1201/9781032684994-60","https://www.scopus.com/pages/publications/85186765152?origin=resultslist","The agriculture industry is starting to feel the effects of e-commerce. It is really worrying to see how consumers buy food and other agricultural items. Customers often have to go to great lengths to purchase agricultural goods, and even then, they can’t always count on receiving what they need. Our project’s primary objective is to facilitate the computerized purchase and sale of agricultural goods, both for farmers and their clients. The website will show the farmers how much money they made from their sales. Through direct interaction with customers, the website provides a means for farmers to increase their income. When it comes to agro-marketing, the website will provide a one-of-a-kind and safe option. Through e-farming, farmers who have a rudimentary understanding of the Internet may market and sell their goods locally. In this concept, customers may browse through available goods and then buy what they need right away via secure online transactions or cash on delivery.they can either choose in between deliverable or non deliverable with their flexibility and users can choose various location to connect with that locality farmers so that the delivery of the products can be easy. © 2024, CRC Press/Balkema. All rights reserved.","agricultural goods; e-commerce; e-farming; farmers","Electronic commerce; Farms; Sales; Agricultural good; Agriculture industries; Direct interactions; E- commerces; E-farming; E-marketplaces; Farmer; One of a kind; Online transaction; Primary objective; Websites","Conference paper","Final","","Scopus","2-s2.0-85186765152"
"Deep A.; Kattamuru S.C.; Negi M.; Mathew J.; Sathyanarayana J.","Deep, Akash (58654373900); Kattamuru, Sri Charan (58198426600); Negi, Meghana (57271621200); Mathew, Jose (57221671293); Sathyanarayana, Jairaj (57219793811)","58654373900; 58198426600; 57271621200; 57221671293; 57219793811","DyCOD - Determining Cash on Delivery Limits for Real-Time E-commerce Transactions via Constrained Optimisation Modelling","2023","Lecture Notes in Computer Science","14174 LNAI","","","51","65","0","10.1007/978-3-031-43427-3_4","https://www.scopus.com/pages/publications/85174442988?origin=resultslist","Paying for deliveries using cash after the delivery is made is a popular mode of payment employed by customers transacting online for the first time or those that prefer to have more control, especially in emerging economies like India. While the cash (or pay)-on-delivery (COD or POD) option helps e-commerce platforms, for example in our food delivery platform, tap into new customers, it also opens up substantial risk in the form of fraud and abuse. A common risk mitigation strategy is to impose a limit on the order value that can be paid using COD. In our experience and survey, these limits are typically blunt (a single limit for a city or zip code) and set by business teams using heuristics and primarily from a risk-management-backwards view. This one-size-fits-all approach means we leave money on the table on customer groups where the limits are too strict and lose money on groups where they are lax. We need to balance the risk-management and the customer-preference angles simultaneously and dynamically. Note that this is different from a typical credit-scoring approach due to at least two major reasons - 1) the information available in e-commerce, especially online food delivery, is much sparser, 2) the limit needs to be calculated dynamically in real-time depending on the transaction value, restaurant and marketplace constraints and network effects. To this end, we present a framework called DyCOD that maps this to a non-linear constrained optimisation problem. To the best of our knowledge there are no published results in this area and our work is the first. We solve this using both heuristic and model driven approaches and run large-scale A/B experiments. Our approaches delivered a 2.1% lift in margin per order vs. the baseline while not increasing any risk metrics, which is highly significant at our scale. © 2023, The Author(s), under exclusive license to Springer Nature Switzerland AG.","Cash on Delivery; Constrained Optimization; Fraud and abuse; Propensity modelling","Crime; Electronic commerce; Human resource management; Risk management; Sales; Taps; Cash-on-delivery; E- commerces; E-commerce transactions; Emerging economies; Food delivery; Fraud and abuse; Optimization models; Propensity modeling; Real- time; Risks management; Constrained optimization","Conference paper","Final","","Scopus","2-s2.0-85174442988"
