"Espacenet";"";"";"";"";"";"";"";"";
"Patent search";"";"";"";"";"";"";"";"";
"21 844 results found for (nftxt = ""e-commerce"" OR nftxt = ""online ordering"" OR nftxt = ""digital marketplace"") AND (nftxt = ""product search"" OR nftxt = ""recommendation"" OR nftxt = ""personalization"" OR nftxt = ""shopping cart"" OR nftxt = ""checkout"" OR nftxt = ""order management"" OR nftxt = ""mobile ordering"")";"";"";"";"";"";"";"";"";
"null";"";"";"";"";"";"";"";"";
"Query language: en / de / fr";"";"";"";"";"";"";"";"";
"Sort by: Relevance";"";"";"";"";"";"";"";"";
"Filters: Earliest publication date (family): 2022-01-01 To 2026-12-31";"";"";"";"";"";"";"";"";
"No";"Title";"Inventors";"Applicants";"Publication number";"Earliest priority";"IPC";"CPC";"Publication date";"Earliest publication";"Family number";
"1";"E-commerce information sharing system";"LI HUIJUAN";"YIWU LUGANG E COMMERCE PARK CO LTD";"CN119671008A";"2023-09-20";"G06F21/31 
G06F21/62 
G06Q10/06 
G06Q30/0601";"";"2025-03-21";"2025-03-21";"094984646";
"2";"AN E-COMMERCE DIGITAL MARKETPLACE SHOPPING SYSTEM";"DUARTE VALENTE NUNO FILIPE [PT]";"GURIPEDIL UNIPESSOAL LDA [PT]";"EP4704017A1";"2024-09-03";"G06F16/783 
G06Q30/0241 
G06Q30/0251 
G06Q30/0601 
H04N21/234 
H04N21/254 
H04N21/81";"G06Q30/0257 (EP) 
G06Q30/0271 (EP) 
G06Q30/0277 (EP) 
G06Q30/0631 (EP) 
H04N21/23418 (EP) 
H04N21/251 (EP) 
H04N21/2542 (EP) 
H04N21/25891 (EP) 
H04N21/812 (EP)";"2026-03-04";"2026-03-04";"098692844";
"3";"E-commerce platform search recommendation and intelligent secretary integrated system";"LIN PAN";"SHENZHEN WOLE TRADING CO LTD";"CN119168751A";"2024-09-23";"G06F16/9032 
G06F16/9535 
G06Q30/0201 
G06Q30/0601";"G06F16/90332 (CN) 
G06F16/9535 (CN) 
G06Q30/0201 (CN) 
G06Q30/0625 (CN) 
G06Q30/0631 (CN)";"2024-12-20";"2024-12-20";"093880490";
"4";"E-commerce real-time recommendation method and device";"QIAO PU 
ZHANG HONGCUN";"INSPUR SMART SUPPLY CHAIN TECH SHANDONG CO LTD";"CN119963290A";"2025-01-14";"G06F16/17 
G06F16/18 
G06Q30/0601";"Y02D10/00 (EP)";"2025-05-09";"2025-05-09";"095587161";
"5";"E-commerce recommendation method without subjective consciousness";"WANG WENBIN 
SHA TAO";"EXCLUSIVE INTELLIGENT TECH SUZHOU LIMITED COMPANY";"CN114282972A";"2021-12-24";"G06Q30/06";"";"2022-04-05";"2022-04-05";"080875138";
"6";"Electronic commerce data processing method and system";"FENG TIANSHU 
YIN QIANG 
LI MUHONG";"JILIN COMMUNICATIONS POLYTECHNIC";"CN120471650A 
CN120471650B";"2025-07-11";"G06F16/9535 
G06F18/22 
G06F18/241 
G06Q30/0201 
G06Q30/0251 
G06Q30/0601";"";"2025-08-12 
2025-09-05";"2025-08-12";"096642841";
"7";"E-commerce data monitoring and order management method and system";"WANG BINGCHEN 
YIN ZHENGYIN 
ZHANG YUN";"WANG BINGCHEN";"CN118608229A";"2024-05-24";"G06Q30/0202 
G06Q30/0601";"G06Q30/0202 (CN) 
G06Q30/0635 (CN)";"2024-09-06";"2024-09-06";"092547144";
"8";"Sales system based on rural e-commerce platform";"SHAN FENFEN 
XIE ZUOPIN 
ZHOU MEILIN 
CHEN MENGHUI 
CUI WENJUAN 
FU HAO";"ZHEJIANG HUIZHONG GEOGRAPHIC INFORMATION TECH CO LTD";"CN119784461A 
CN119784461B";"2024-11-26";"G06F21/60 
G06Q10/083 
G06Q30/015 
G06Q30/0601";"";"2025-04-08 
2025-11-25";"2025-04-08";"095247559";
"9";"Digitized automatic marketing method and system based on big data";"WU KAI";"SHANGHAI LIUHAN NETWORK TECH CO LTD";"CN114493713A";"2022-01-30";"G06Q30/02 
G06Q30/06";"G06Q30/0202 (CN) 
G06Q30/0631 (CN)";"2022-05-13";"2022-05-13";"081478481";
"10";"ELECTRONIC SHOPPING CART PREDICTION AND CACHING OF ELECTRONIC SHOPPING CART COMPUTATIONS";"SAAD MICHELE [US] 
MINIAILO IGOR [US]";"ADOBE INC [US]";"US11935085B1 
US2024078572A1";"2022-09-06";"G06Q30/06 
G06Q30/02 
G06Q30/0207 
G06Q30/0601";"G06F16/9535 (CN) 
G06F16/9574 (CN) 
G06Q30/0222 (EP,US) 
G06Q30/0625 (EP,US) 
G06Q30/0631 (EP,CN) 
G06Q30/0633 (EP) 
G06Q30/0641 (EP)";"2024-03-07 
2024-03-19";"2024-03-07";"089905400";
"11";"Method and system for providing e-commerce service by using cooperative service shopping cart";"YUN JU-HYUN";"BLINK CO LTD";"CN115204962A";"2021-04-14";"G06Q10/08 
G06Q30/06";"G06Q10/083 (CN) 
G06Q20/12 (EP,US) 
G06Q30/0605 (EP,US) 
G06Q30/0633 (EP,US) 
G06Q30/0637 (CN) 
G06Q30/0641 (CN)";"2022-10-18";"2022-04-04";"081182675";
"12";"E-commerce platform based on Internet";"XIANG HONGYU";"XIANG HONGYU";"CN116977017A";"2023-06-28";"G06Q10/101 
G06Q30/0601 
G06T19/20";"";"2023-10-31";"2023-10-31";"088475870";
"13";"E-commerce platform data analysis system";"OUYANG CHUN";"WUHAN TECHNICAL COLLEGE COMMUNICATIONS";"CN115204982A";"2022-07-22";"G06F17/18 
G06Q30/06";"G06F17/18 (CN) 
G06Q30/0631 (CN) 
G06Q30/0643 (CN)";"2022-10-18";"2022-10-18";"083583755";
