entity,app_name,group,source,country,lang_query,rating,text,date,thumbs_up,app_version,lang_detected
METRO app,METRO Companion,METRO (reference),Google Play,us,en,5,Nifty little application.,2026-05-07T19:54:02Z,0,3.81,en
METRO app,METRO Companion,METRO (reference),Google Play,us,en,2,search bar is not user friendly.,2026-05-06T22:59:25Z,0,3.81,en
METRO app,METRO Companion,METRO (reference),Google Play,us,en,1,Not useful for checking prices as they suggest to use this app in the places of the removed in store price checker readers. Garbage without registering your metro card,2026-05-04T14:51:13Z,0,NA,en
METRO app,METRO Companion,METRO (reference),Google Play,us,en,3,invices are hard to read. change collor.,2026-02-24T18:17:16Z,0,3.79,en
METRO app,METRO Companion,METRO (reference),Google Play,us,en,1,useless. it doesn't scan the membership card correctly no matter how you take the picture it still reads it wrong.,2026-01-22T17:24:53Z,0,NA,en
METRO app,METRO Companion,METRO (reference),Google Play,us,en,1,"Lousy app. slow, crashes, Metro lie about its possibilities, not user friendly, horrible layout. Useless.",2026-01-03T15:07:27Z,8,3.78,en
METRO app,METRO Companion,METRO (reference),Google Play,us,en,5,good it's helpful.,2025-12-27T18:33:56Z,0,3.78,en
METRO app,METRO Companion,METRO (reference),Google Play,us,en,2,"It logs me out every time I want to log in, saying ""your session has expired"". Then I have to enter my credentials EVERY SINGLE TIME i want to use the app. It's very annoying. If I didn't need to buy the beer from there, I would supply my bar from another store, that's how bad it is",2025-12-07T11:17:15Z,1,3.77,en
METRO app,METRO Companion,METRO (reference),Google Play,us,en,1,why do I have to update every time I come here. it's ok tou have new versions. but at least let me acces my entry card without updating. Or have internet coverage inside this metal building. really annoying to go outside and wait in the cold.,2025-12-01T15:30:31Z,0,NA,en
METRO app,METRO Companion,METRO (reference),Google Play,us,en,1,Kya fazol app h password shi enter krne ke bwajood bhi account login nhi horha h,2025-08-26T22:01:36Z,0,3.74,en
METRO app,METRO Companion,METRO (reference),Google Play,us,en,1,"Metro forced us to use this new app that is garbage: 1. It doesn't let you log-in or add existing card via phone number — you have to create account with password. 2. After your new account is created the app suggests to scan physical card or to use photo from library — both doesn's work, the app says ""issue with your card"" while physical one works fine. 3. Metro.ua emailed me with threat to block my account if I won't add my card to this app in 48 hours. You'll loose competition this way!",2025-07-31T14:33:52Z,6,3.74,en
METRO app,METRO Companion,METRO (reference),Google Play,us,en,1,the worst DO NOT DOWNLOAD,2025-06-05T14:49:03Z,1,3.73,en
METRO app,METRO Companion,METRO (reference),Google Play,us,en,1,buggy and prices are no more visible,2025-05-26T00:08:32Z,1,3.73,en
METRO app,METRO Companion,METRO (reference),Google Play,us,en,1,"complete disappointment, the online card simply does not work. Shopping points are not added, utter disappointment.... the app is rolled out without any testing... what a waste of time. I shopped for 3 x months and came to know today that not even a single point was added ... not coming to metro again. Metro, you lost me",2025-04-26T17:45:16Z,5,3.72.2,en
METRO app,METRO Companion,METRO (reference),Google Play,us,en,1,don't understand how to make online shopping,2025-04-26T06:36:58Z,0,3.72.2,en
METRO app,METRO Companion,METRO (reference),Google Play,us,en,1,"When I try to scan my card it says ""Data cannot be loaded at the moment""...",2025-04-10T16:46:30Z,0,3.72.2,en
METRO app,METRO Companion,METRO (reference),Google Play,us,en,1,Useless application.Do not show prices Total disappointment,2025-03-17T12:37:28Z,0,3.71.1,en
METRO app,METRO Companion,METRO (reference),Google Play,us,en,1,Worst experience with the app,2025-03-10T16:17:57Z,0,NA,en
