"Authors","Author full names","Author(s) ID","Title","Year","Source title","Link","Affiliations","Authors with affiliations","Abstract","Author Keywords","Index Keywords","Document Type","Open Access","Source"
"Zhang D.; Liu X.; Li J.; Fan M.","Zhang, Daohai (23972191300); Liu, Xue (57201698662); Li, Juan (57201700116); Fan, Mingyue (57222326920)","23972191300; 57201698662; 57201700116; 57222326920","Sentiment topic mining based on comment tags","2018","IOP Conference Series: Materials Science and Engineering","https://www.scopus.com/pages/publications/85045842164?origin=resultslist","School of Management, Jiangsu University, Zhenjiang, China","Zhang D., School of Management, Jiangsu University, Zhenjiang, China; Liu X., School of Management, Jiangsu University, Zhenjiang, China; Li J., School of Management, Jiangsu University, Zhenjiang, China; Fan M., School of Management, Jiangsu University, Zhenjiang, China","With the development of e-commerce, various comments based on tags are generated, how to extract valuable information from these comment tags has become an important content of business management decisions. This study takes HUAWEI mobile phone tags as an example using the sentiment analysis and topic LDA mining method. The first step is data preprocessing and classification of comment tag topic mining. And then make the sentiment classification for comment tags. Finally, mine the comments again and analyze the emotional theme distribution under different sentiment classification. The results show that HUAWEI mobile phone has a good user experience in terms of fluency, cost performance, appearance, etc. Meanwhile, it should pay more attention to independent research and development, product design and development. In addition, battery and speed performance should be enhanced. © Published under licence by IOP Publishing Ltd.","","Cellular telephones; Mining; Mobile phones; Product design; Sentiment analysis; Telephone sets; Business management; Cost performance; Data preprocessing; Independent research; Product design and development; Sentiment classification; Speed performance; User experience; Data mining","Conference paper","All Open Access; Gold Open Access","Scopus"
"Chen Q.; Wang S.; Lin A.","Chen, Qin (55490934100); Wang, Siyi (55311860200); Lin, Angela (8419054100)","55490934100; 55311860200; 8419054100","The joint beta distribution with refund rate in online C2C trust building: A theoretical study on Taobao","2012","2012 International Conference on E-Learning and E-Technologies in Education, ICEEE 2012","https://www.scopus.com/pages/publications/84869405035?origin=resultslist","Information School, University of Sheffield, Sheffield, S1 4DP, Regent Court, 211 Portobello, United Kingdom; Department of Electronic and Electrical Engineering, University of Sheffield, Sheffield, S1 3JD, Mappin Street, United Kingdom","Chen Q., Information School, University of Sheffield, Sheffield, S1 4DP, Regent Court, 211 Portobello, United Kingdom; Wang S., Department of Electronic and Electrical Engineering, University of Sheffield, Sheffield, S1 3JD, Mappin Street, United Kingdom; Lin A., Information School, University of Sheffield, Sheffield, S1 4DP, Regent Court, 211 Portobello, United Kingdom","Lack of trust is one of the fundamental reasons for losing customers from ""faceless"" e-commerce websites in the consumer-to-consumer market. In order to combat problems with dishonest market participants, a reputation system based on the trustworthiness of sellers has been widely established by the service provider. Traditionally this trust model is mainly based on feedback mechanism while neglecting the other important factors, such as, refund rate, which may lead to transaction risks in the new transaction. This paper proposes a global reputation rating method by using joint beta probability density functions to combine positive feedback rating and refund rate. The new trust model has the advantage of tractability and scalability as well as its theoretical sound basis on statistics. © 2012 IEEE.","C2C; joint beta distribution; online shopping; refund rate; reputation system; trust","E-learning; Electronic commerce; Probability density function; Security of data; Beta distributions; C2C; Online shopping; refund rate; Reputation systems; trust; Engineering education","Conference paper","","Scopus"
"Ho S.-C.; Chuang W.-L.","Ho, Shu-Chun (7403716942); Chuang, Wei-Li (58099135400)","7403716942; 58099135400","Identifying and prioritizing the critical quality attributes for business-to-business cross-border electronic commerce platforms","2023","Electronic Commerce Research and Applications","https://www.scopus.com/pages/publications/85147855160?origin=resultslist","Department of Software Engineering and Management, National Kaohsiung Normal University, Taiwan, No.62, Shenjhong Rd., Yanchao District, Kaohsiung, 82446, Taiwan","Ho S.-C., Department of Software Engineering and Management, National Kaohsiung Normal University, Taiwan, No.62, Shenjhong Rd., Yanchao District, Kaohsiung, 82446, Taiwan; Chuang W.-L., Department of Software Engineering and Management, National Kaohsiung Normal University, Taiwan, No.62, Shenjhong Rd., Yanchao District, Kaohsiung, 82446, Taiwan","Business-to-business (B2B) cross-border e-commerce (EC) platforms play a critical role in reducing the psychological barriers to cross-border demand. For example, they simplify the search for and comparison of products and suppliers across countries. However, little research on the quality attributes of B2B cross-border EC platforms has been conducted. To alleviate this research gap, this study aimed to identify and prioritize the quality attributes of B2B cross-border EC platforms. Two research methods were applied: First, the modified Delphi technique was used to identify the critical quality attributes from journal articles with the approval of industrial practitioners. In addition, based on the theory of attractive quality, we conducted focus group interviews with industrial practitioners to prioritize the quality attributes of B2B cross-border EC platforms. The results of a Kano model analysis revealed 7 must-be, 15 one-dimensional, 14 attractive, and one indifference quality attributes of B2B cross-border EC platforms among the identified 37. This study provides practical insights for designers and sellers of B2B cross-border EC platforms. © 2023 The Author(s)","B2B cross-border e-commerce platform; Kano model analysis; Modified Delphi technique; Quality attribute; Theory of attractive quality","Electronic commerce; Forecasting; Industrial research; B2B cross-border e-commerce platform; Commerce platforms; Cross-border; Delphi technique; E- commerces; Kano model; Kano model analyse; Modeling analyzes; Modified delphi technique; Quality attributes; Theory of attractive quality; Quality control","Article","All Open Access; Hybrid Gold Open Access","Scopus"
"Gong H.; Zhao Q.; Li T.; Cho D.; Nguyen D.","Gong, Hao (57219876908); Zhao, Qifang (57214673419); Li, Tianyu (57205735982); Cho, Derek (57219876586); Nguyen, DuyKhuong (59441456700)","57219876908; 57214673419; 57205735982; 57219876586; 59441456700","Learning to Profile: User Meta-Profile Network for Few-Shot Learning","2020","International Conference on Information and Knowledge Management, Proceedings","https://www.scopus.com/pages/publications/85095865442?origin=resultslist","Rakuten Institute of Technology and Rakuten Inc., Tokyo, Japan; Data Science and Ai Department, Rakuten Inc., Tokyo, Japan","Gong H., Rakuten Institute of Technology and Rakuten Inc., Tokyo, Japan; Zhao Q., Rakuten Institute of Technology and Rakuten Inc., Tokyo, Japan; Li T., Rakuten Institute of Technology and Rakuten Inc., Tokyo, Japan; Cho D., Rakuten Institute of Technology and Rakuten Inc., Tokyo, Japan; Nguyen D., Data Science and Ai Department, Rakuten Inc., Tokyo, Japan","Meta-learning approaches have shown great success in solving challenging knowledge transfer and fast adaptation problems with few samples in vision and language domains. However, few studies discuss the practice of meta-learning for large-scale industrial applications, e.g., representation learning for e-commerce platform users. Although e-commerce companies have spent many efforts on learning accurate and expressive representations to provide a better user experience, we argue that such efforts cannot be stopped at this step. In addition to learning a strong profile of user behaviors, the challenging question about how to effectively transfer the learned representation and quickly adapt the learning process to the subsequent learning tasks or applications is raised simultaneously. This paper introduces the contributions that we made to address these challenges from three aspects. 1) Meta-learning model: In the context of representation learning with e-commerce user behavior data, we propose a meta-learning framework called the Meta-Profile Network, which extends the ideas of matching network and relation network for knowledge transfer and fast adaptation; 2) Encoding strategy: To keep high fidelity of large-scale long-term sequential behavior data, we propose a time-heatmap encoding strategy that allows the model to encode data effectively; 3) Deep network architecture: A multi-modal model combined with multi-task learning architecture is utilized to address the cross-domain knowledge learning and insufficient label problems. Moreover, we argue that an industrial model should not only have good performance in terms of accuracy, but also have better robustness and uncertainty performance under extreme conditions. We evaluate the performance of our model with extensive control experiments in various extreme scenarios, i.e. out-of-distribution detection, data insufficiency and class imbalance scenarios. The Meta-Profile Network shows significant improvement in the model performance when compared to baseline models. © 2020 ACM.","meta-learning; multi-modal model; multi-task learning; representation learning","Behavioral research; Electronic commerce; Encoding (symbols); Knowledge management; Multi-task learning; Network architecture; Signal encoding; User experience; Control experiments; Extreme conditions; Industrial modeling; Knowledge transfer; Matching networks; Meta-learning approach; Meta-learning frameworks; Meta-learning models; Learning systems","Conference paper","","Scopus"
"Zhao Y.; Sundaresan N.; Shen Z.; Yu P.S.","Zhao, Yuchen (36769943200); Sundaresan, Neel (7005588783); Shen, Zeqian (14830686700); Yu, Philip S. (7402366049)","36769943200; 7005588783; 14830686700; 7402366049","Anatomy of a web-scale resale market: A data mining approach","2013","WWW 2013 - Proceedings of the 22nd International Conference on World Wide Web","https://www.scopus.com/pages/publications/84893062577?origin=resultslist","University of Illinois at Chicago, United States; EBay Research Labs, United States; King Abdulaziz University, Saudi Arabia","Zhao Y., University of Illinois at Chicago, United States; Sundaresan N., EBay Research Labs, United States; Shen Z., EBay Research Labs, United States; Yu P.S., University of Illinois at Chicago, United States, King Abdulaziz University, Saudi Arabia","Reuse and remarketing of content and products is an integral part of the internet. As E-commerce has grown, online resale and secondary markets form a significant part of the commerce space. The intentions and methods for reselling are diverse. In this paper, we study an instance of such markets that affords interesting data at large scale for mining purposes to understand the properties and patterns of this online market. As part of knowledge discovery of such a market, we first formally propose criteria to reveal unseen resale behaviors by elastic matching identification (EMI) based on the account transfer and item similarity properties of transactions. Then, we present a large-scale system that leverages MapReduce paradigm to mine millions of online resale activities from petabyte scale heterogeneous ecommerce data. With the collected data, we show that the number of resale activities leads to a power law distribution with a 'long tail', where a significant share of users only resell in very low numbers and a large portion of resales come from a small number of highly active resellers. We further conduct a comprehensive empirical study from different aspects of resales, including the temporal, spatial patterns, user demographics, reputation and the content of sale postings. Based on these observations, we explore the features related to ""successful"" resale transactions and evaluate if they can be predictable. We also discuss uses of this information mining for business insights and user experience on a real-world online marketplace. Copyright is held by the International World Wide Web Conference Committee (IW3C2).","Behavioral analysis; Big data; E-commerce; EBay; MapReduce; Prediction; Resale market; Reseller","Data mining; Electronic commerce; Forecasting; World Wide Web; Behavioral analysis; Big datum; EBay; Map-reduce; Reseller; Sales","Conference paper","","Scopus"
"","","","Proceedings - 2009 IITA International Conference on Services Science, Management and Engineering, SSME 2009","2009","Proceedings - 2009 IITA International Conference on Services Science, Management and Engineering, SSME 2009","https://www.scopus.com/pages/publications/71049121116?origin=resultslist","","","The proceedings contain 149 papers. The topics discussed include: implementation of China's export tax rebates in global financial crisis; research on coordinate control influencing factors evaluation among enterprises of B2B EC; model and algorithms for emergency service facility location problem; designing supply chain KPIs for upper-level management; regional and urban traffic state estimation system; web personalization method based on relevance feedback on keyword space; the fuzzy synthesize assess in reliability and maintainability of military engineer machinery; optimization way of engineering equipment maintenance based on process algebra; strategic management model of investor relations; evaluation of self-organization and orderliness in m and a system; mobile authentication scheme using SMS; an object-oriented development process and UML modeling tools; and the transformation of business organizational structures under the environment of e-commerce; distance constrained facility location problem.","","","Conference review","","Scopus"
"Chen L.; Pu P.","Chen, Li (55739265400); Pu, Pearl (7005276079)","55739265400; 7005276079","Experiments on user experiences with recommender interfaces","2014","Behaviour and Information Technology","https://www.scopus.com/pages/publications/84898624673?origin=resultslist","Department of Computer Science, Hong Kong Baptist University, Kowloon, Hong Kong, 224 Waterloo Road, Hong Kong; Human Computer Interaction Group, School of Computer and Communication Sciences, Swiss Federal Institute of Technology in Lausanne (EPFL), CH-1015 Lausanne, Switzerland","Chen L., Department of Computer Science, Hong Kong Baptist University, Kowloon, Hong Kong, 224 Waterloo Road, Hong Kong; Pu P., Human Computer Interaction Group, School of Computer and Communication Sciences, Swiss Federal Institute of Technology in Lausanne (EPFL), CH-1015 Lausanne, Switzerland","Recommender systems have been increasingly adopted as personalisation services in e-commerce. They facilitate users to locate items which they would be interested in viewing or purchasing. However, most studies have emphasised on the algorithm's performance, rather than on in-depth analysis of user experiences with the recommender interface. In this article, we report the results of two studies that compared two recommender interfaces: the organisation-based interface (where recommendations are presented in a category structure via the preference-based organisation method) and the standard ranked list (where recommendations are listed one after the other as ordered by their prediction scores).The first study focuses on evaluating users' eye-movement behaviour in these interfaces. With the help of an eye tracker, we found that the organisation interface (ORG) can significantly attract users' attentions to more recommended items. As a result, more users made product choices in that interface. The second, larger-scale, cross-cultural user survey further shows that the ORG performed significantly better in terms of enhancing users' perceived recommendation quality, perceived ease of use and perceived usefulness of the system. Hence, these empirical findings suggest that the change of recommender interface design can not only alter users' attention distribution, but also influence their subjective attitudes towards the system. © 2012 Taylor & Francis.","cross-cultural validation; e-commerce; evaluation methodology; eye-tracking experiment; organisation interface; Product recommender systems; ranked list; subjective perceptions; user study","Experiments; Eye movements; Recommender systems; cross-cultural validation; Evaluation methodologies; Eye-tracking; Product recommender system; ranked list; Subjective perceptions; User study; Electronic commerce","Article","All Open Access; Green Open Access","Scopus"
"Shi Y.","Shi, Yunshan (60632758600)","60632758600","Application of KNN algorithm integrating Gaussian function in accurate marketing classification of e-commerce platforms","2026","Discover Applied Sciences","https://www.scopus.com/pages/publications/105038904356?origin=resultslist","School of Digital Economics, Changzhou College of Information Technology, Changzhou, 213164, China","Shi Y., School of Digital Economics, Changzhou College of Information Technology, Changzhou, 213164, China","As the boost of the e-commerce industry, classifying users to achieve precise marketing has become an important topic. The traditional K-nearest neighbor algorithm is sensitive to outliers and has high computational complexity. Existing research lacks robust classification methods that can effectively handle the noise and high-dimensional features commonly present in e-commerce data while maintaining a low computational complexity. Therefore, the research proposes a new method integrating the Gaussian function into the KNN algorithm framework. The core innovation lies in the utilization of the probabilistic characteristics and smoothing properties of the Gaussian function, fundamentally changing the traditional KNN decision-making mechanism based on uniform distance. This method achieves a fundamental breakthrough in dealing with complex user behavior patterns by assigning probability-based weights to neighboring samples, thereby enhancing the model’s robustness to noisy data and local density variations. The experiment showcases that the model possesses a subject working feature area of 0.86 and 0.82 on the training and testing sets, respectively, which is significantly better than other models. This algorithm performs better in terms of convergence speed and average sum of squares of error compared to traditional algorithms, with an increase of 55.56% in convergence speed and a decrease of 71.74% in average sum of squares of error. In terms of customer feature classification, the algorithm significantly improves in terms of indicators. After strategic optimization, the marketing strategy forecast achieves high sales, and the overall revenue increases by approximately 20.74% compared to the traditional marketing strategy forecast. The research confirms the significant application value of the G-KNN algorithm in precise marketing of e-commerce: on the one hand, it can achieve more refined customer segmentation, providing a reliable basis for personalized recommendations and targeted promotions; On the other hand, by enhancing the accuracy of classification, marketing costs are effectively reduced and the input–output ratio of marketing are improved. This algorithm provides a practical technical tool for e-commerce platforms to optimize marketing decisions and enhance user satisfaction. © The Author(s) 2026.","E-commerce industry; Fusion Gaussian function; K-nearest neighbor algorithm; Marketing services; Precision marketing","Behavioral research; Classification (of information); Computational complexity; Decision making; Electronic commerce; Forecasting; Learning algorithms; Nearest neighbor search; Sales; Strategic planning; Commerce platforms; Convergence speed; E- commerces; E-commerce industry; Fusion gaussian function; Gaussian functions; K-near neighbor algorithm; Marketing service; Nearest-neighbor algorithms; Precision marketings; Gaussian distribution","Article","All Open Access; Gold Open Access; Green Open Access","Scopus"
"Xiao L.; Wang R.; Li C.; Pan Q.; Xu Y.","Xiao, Lina (57202642863); Wang, Ruiqi (57202650802); Li, Chao (57202651109); Pan, Qi (57202640079); Xu, Ying (57202643185)","57202642863; 57202650802; 57202651109; 57202640079; 57202643185","Research on E-commerce marketing model of agricultural products - Taking Zigui navel orange as an example","2017","Proceedings of the 7th International Conference on Logistics and Systems Engineering 2017","https://www.scopus.com/pages/publications/85048953850?origin=resultslist","School of Management, Wuhan Donghu University, 301 Wenhua Ave, Jiangxia District, Wuhan City, Hubei, 430212, China","Xiao L., School of Management, Wuhan Donghu University, 301 Wenhua Ave, Jiangxia District, Wuhan City, Hubei, 430212, China; Wang R., School of Management, Wuhan Donghu University, 301 Wenhua Ave, Jiangxia District, Wuhan City, Hubei, 430212, China; Li C., School of Management, Wuhan Donghu University, 301 Wenhua Ave, Jiangxia District, Wuhan City, Hubei, 430212, China; Pan Q., School of Management, Wuhan Donghu University, 301 Wenhua Ave, Jiangxia District, Wuhan City, Hubei, 430212, China; Xu Y., School of Management, Wuhan Donghu University, 301 Wenhua Ave, Jiangxia District, Wuhan City, Hubei, 430212, China","Nowadays, the Internet + agriculture is a hot issue. But we should know that, the current development of China's agricultural e-commerce faces a lot of problems, such as platform construction, logistics distribution, We-Media interaction, user experience and talents shortage, etc. By taking Zigui navel orange as an example, this paper mainly compared the traditional marketing mode and e-commerce marketing model, and then put forward relevant proposals based on the analysis of the existing agricultural e-commerce marketing problems. © 2017 Aussino Academic Publishing House. All rights reserved.","Agricultural products; E-commerce; Marketing model; Zigui navel orange","Agricultural products; Citrus fruits; Marketing; Systems engineering; Know-that; Logistics distribution; Marketing models; Navel orange; Platform construction; User experience; Electronic commerce","Conference paper","","Scopus"
"Nazih M.; Alaa G.","Nazih, Marina (54784880400); Alaa, Ghada (6506711177)","54784880400; 6506711177","Generic service patterns for web enabled public healthcare systems","2011","Proceedings of the 2011 7th International Conference on Next Generation Web Services Practices, NWeSP 2011","https://www.scopus.com/pages/publications/83755196102?origin=resultslist","Faculty of Informatics and Computer Science, British University in Egypt, Cairo, Egypt","Nazih M., Faculty of Informatics and Computer Science, British University in Egypt, Cairo, Egypt; Alaa G., Faculty of Informatics and Computer Science, British University in Egypt, Cairo, Egypt","Different technologies are used to build different projects in the same organization. Service Oriented Architecture (SOA) is the data bridge between incompatible technologies. It is considered the most important technology for integration. A service modeling technique based on the suggested healthcare service patterns has been applied on an Egyptian public healthcare case study where SOA is used for integrating the hospitals through an Enterprise Service Bus (ESB). Interactions between different hospitals through a governmental portal are known as Government to Government (G2G) services that are similar to Business to Business (B2B) e-commerce transactions but it is on the governmental level. This paper will cover the analysis and design of public healthcare integration services and their orchestration over the governmental ESB portal. The service patterns are the contribution of this paper and they resemble healthcare activities invoked by five major actors; the government as facilitator, the producers to cover the doctors and nurses, the healthcare providers represented in hospitals and clinics, the health intermediaries to include health insurance companies and pharmacies and finally the patient. Re-usability, abstraction, loose coupling and scalability are the software metrics used in this study to ensure that the proposed patterns are generic to any kind of public healthcare application. © 2011 IEEE.","Enterprise Service Bus; Government to Government (G2G); public healthcare; Service Oriented Architecture (SOA)","Computer software reusability; Health care; Health insurance; Hospitals; Industry; Information services; Service oriented architecture (SOA); Analysis and design; Business to business; E-commerce transactions; Egyptians; Enterprise service bus; Generic services; Government to Government (G2G); Governmental portal; Health care application; Health care providers; Health-care system; Healthcare services; Insurance companies; Integration services; Loose couplings; Service modeling; Service Oriented; Software metrics; Web services","Conference paper","","Scopus"
