doc_id,ipc_code,ipc_main,ipc_class
1,G06Q30/02,G06Q,G06
1,G06Q30/06,G06Q,G06
1,G06Q20/10,G06Q,G06
1,G06Q30/08,G06Q,G06
1,G06Q30/0241,G06Q,G06
1,G06Q30/0251,G06Q,G06
1,G06Q30/0601,G06Q,G06
2,G06F21/50,G06F,G06
2,G06F21/51,G06F,G06
2,G06F21/53,G06F,G06
2,G06F21/54,G06F,G06
2,G06F21/55,G06F,G06
2,G06F21/56,G06F,G06
2,G06F21/57,G06F,G06
2,G06N5/02,G06N,G06
3,G06N20/00,G06N,G06
3,G06N3/00,G06N,G06
3,G06N5/02,G06N,G06
4,C07D231/48,C07D,C07
5,G06F21/62,G06F,G06
5,G06Q30/01,G06Q,G06
5,H04M3/42,H04M,H04
6,G06F11/30,G06F,G06
6,G06F9/50,G06F,G06
6,G06K9/62,G06K,G06
6,G06N20/00,G06N,G06
6,G06N5/02,G06N,G06
6,H04L67/562,H04L,H04
7,B60W40/08,B60W,B60
7,G01C21/34,G01C,G01
7,G05B13/02,G05B,G05
7,G05D1/00,G05D,G05
7,G05D1/02,G05D,G05
7,G06F40/40,G06F,G06
7,G06N20/00,G06N,G06
7,G06N3/04,G06N,G06
7,G06N3/08,G06N,G06
7,G06Q50/18,G06Q,G06
7,G06Q50/30,G06Q,G06
7,G06V20/64,G06V,G06
7,G07C5/00,G07C,G07
7,G07C5/02,G07C,G07
7,G07C5/08,G07C,G07
8,G06N20/00,G06N,G06
8,G06Q10/063,G06Q,G06
8,H04L9/40,H04L,H04
9,G06Q20/36,G06Q,G06
9,G06Q30/00,G06Q,G06
9,G06F21/60,G06F,G06
9,G06Q20/12,G06Q,G06
9,G06Q20/32,G06Q,G06
9,G06Q20/34,G06Q,G06
9,G06Q20/38,G06Q,G06
9,G06Q20/40,G06Q,G06
9,G06Q30/018,G06Q,G06
9,G06Q20/36,G06Q,G06
10,G06F3/0484,G06F,G06
10,G06Q30/0601,G06Q,G06
10,G06T7/13,G06T,G06
10,G06T7/73,G06T,G06
10,G06V10/44,G06V,G06
10,G06V10/764,G06V,G06
10,G06V10/82,G06V,G06
10,G06V20/20,G06V,G06
10,G06V40/10,G06V,G06
11,G16H10/60,G16H,G16
11,G16H20/10,G16H,G16
11,G16H80/00,G16H,G16
12,G06N3/00,G06N,G06
13,G06Q30/06,G06Q,G06
13,G06T19/00,G06T,G06
13,G06T19/20,G06T,G06
13,G06Q30/00,G06Q,G06
13,G06Q30/0201,G06Q,G06
13,G06Q30/0204,G06Q,G06
13,G06Q30/0241,G06Q,G06
13,G06Q30/0242,G06Q,G06
13,G06Q30/0251,G06Q,G06
13,G06Q30/0601,G06Q,G06
14,G06Q20/38,G06Q,G06
14,G06Q40/02,G06Q,G06
15,G06F17/18,G06F,G06
15,G06N20/00,G06N,G06
15,G06Q30/0207,G06Q,G06
15,G06Q30/0214,G06Q,G06
16,G06F30/27,G06F,G06
16,G06N3/04,G06N,G06
16,G06Q10/06,G06Q,G06
16,G06Q10/08,G06Q,G06
16,G06Q30/02,G06Q,G06
17,G06Q10/04,G06Q,G06
18,G06N20/00,G06N,G06
18,G06N99/00,G06N,G06
19,G06N3/08,G06N,G06
20,G06F16/532,G06F,G06
20,G06F16/583,G06F,G06
20,G06K9/62,G06K,G06
20,G06N3/08,G06N,G06
21,G06Q30/06,G06Q,G06
21,G06Q50/00,G06Q,G06
22,G06Q30/06,G06Q,G06
22,G06T17/00,G06T,G06
22,G06V10/44,G06V,G06
22,G06V40/10,G06V,G06
22,G06V40/20,G06V,G06
23,G06F16/36,G06F,G06
23,G06F40/242,G06F,G06
23,G06F40/289,G06F,G06
23,G06N5/02,G06N,G06
24,G06Q30/06,G06Q,G06
24,G06Q40/08,G06Q,G06
24,G06Q50/10,G06Q,G06
24,G16H10/60,G16H,G16
24,G16H40/00,G16H,G16
