doc_id,word
1,application
1,recommendation
1,engine
2,computer
2,security
2,artificial
2,intelligence
3,computer
3,security
3,artificial
3,intelligence
4,actionable
4,widget
4,cards
5,generating
5,insights
5,party
5,response
5,call
6,computer
6,program
6,implementing
6,marketplace
6,artificial
6,intelligence
6,managed
6,network
6,services
7,artificial
7,intelligence
7,electronic
7,commerce
7,improving
7,emotional
7,optimizing
7,operating
7,parameter
7,vehicle
8,improving
8,machines
8,automate
8,execution
8,distributed
8,ledger
8,transactions
8,spot
8,forward
8,markets
8,energy
8,compute
8,storage
8,resources
9,tokenization
9,platform
10,artificial
10,intelligence
10,image
10,analysis
10,item
10,selection
11,artificial
11,intelligent
11,platform
11,collaborating
11,automating
11,organizing
11,drugs
11,medical
11,health
11,stakeholders
11,pharmaceutical
12,portfolio
12,generation
12,fast
12,genetic
12,algorithm
13,digital
13,launch
13,platform
14,smart
14,contract
14,managed
14,decentralized
14,lending
14,processes
14,collateral
14,tokens
15,referral
15,revenue
16,digital
16,twin
16,control
16,tower
16,enterprise
16,management
16,platform
16,managing
16,entity
16,replicas
16,commerce
17,artificial
17,intelligence
17,blockchain
17,controlling
17,commerce
17,logistics
17,supply
17,chain
18,artificial
18,intelligence
18,selection
18,configuration
19,artificial
19,intelligence
19,commerce
19,manufacturers
19,suppliers
19,purchasers
20,image
20,retrieval
21,openmall
21,process
21,social
21,commerce
21,artificial
21,intelligence
22,intelligent
22,virtual
22,wearing
22,building
22,equipment
22,storage
22,medium
23,commodity
23,entity
23,matching
23,set
23,similarity
24,smart
24,home
24,care
24,health
24,safety
24,cloud
24,service
25,electronic
25,commerce
25,commodity
25,recommendation
25,artificial
25,intelligence
26,customer
26,shopping
26,intention
26,recommendation
26,analysis
27,commerce
27,platform
27,commodity
27,display
27,artificial
27,intelligence
28,computer
28,network
28,architecture
28,machine
28,learning
28,artificial
28,intelligence
28,risk
28,adjusted
28,performance
28,ranking
28,healthcare
28,providers
29,measures
29,online
29,platform
29,connects
29,virtuous
29,cycle
29,voluntary
29,participation
29,users
29,developers
30,intelligence
30,coordinator
30,platform
31,platform
31,extracting
31,date
31,birth
31,robot
31,chatbot
31,chat
31,blind
31,date
31,marital
31,harmony
32,commerce
32,reservation
32,management
32,artificial
32,intelligence
33,deriving
33,clothing
33,sale
33,strategy
33,clothing
33,trend
33,analysis
33,artificial
33,intelligence
34,fallback
34,artificial
34,intelligence
34,redundancy
34,failover
35,maintenance
35,artificial
35,intelligence
35,platform
36,ssd
36,syntagmatically
36,managing
36,ssd
36,distribution
36,network
36,artificial
36,intelligence
37,resource
37,sharing
37,service
37,creating
37,electronic
37,equipment
38,commerce
38,content
38,pushing
38,adopting
38,artificial
38,intelligence
38,analysis
38,commerce
39,electronic
39,commerce
40,processing
40,model
40,training
40,electronic
40,equipment
40,storage
40,medium
41,intelligent
41,classification
41,garbage
41,recycling
41,bin
41,internet
42,enterprise
42,customer
42,acquisition
42,management
43,computer
43,network
43,architecture
43,machine
43,learning
43,artificial
43,intelligence
43,care
43,groupings
44,pushing
44,commerce
44,behavior
44,artificial
44,intelligence
44,prediction
45,overseas
45,commerce
45,related
45,logistics
45,service
45,provision
45,artificial
45,intelligence
45,cloud
46,interactive
46,commerce
46,deep
46,learning
47,cloud
47,service
47,mining
47,artificial
47,intelligence
47,cloud
47,computing
48,cold
48,chain
48,transportation
48,equipment
48,applet
48,storage
48,medium
49,content
49,search
49,electronic
49,equipment
49,storage
49,medium
49,program
49,product
50,commerce
50,platform
50,optimization
50,user
50,behaviors
50,equipment
50,medium
51,extremely
51,efficient
51,image
51,pattern
51,recognition
51,artificial
51,intelligence
51,platform
52,agricultural
52,platform
52,cloud
53,generating
53,online
53,shopping
53,mall
54,recommendation
54,engine
54,subdivided
54,markets
55,digital
55,resilience
55,marketplace
55,platform
56,coordination
56,service
56,clothing
56,user
57,product
57,operation
58,user
58,portrait
58,mining
58,internet
58,artificial
58,intelligence
58,cloud
59,cross
59,border
59,commerce
59,intelligent
59,processing
59,transmission
59,platform
60,commerce
60,platform
60,construction
60,artificial
60,intelligence
61,business
61,optimization
61,artificial
61,intelligence
61,electronic
61,commerce
62,artificial
62,intelligence
62,internet
62,commerce
62,learning
63,kits
63,apparatuses
63,driven
63,digital
63,twins
63,chain
63,network
63,control
63,towers
64,distributed
64,ledger
64,manufacturing
64,chain
64,networks
65,business
65,processing
65,artificial
65,intelligence
65,electronic
65,shopping
65,mall
66,commerce
66,storage
66,artificial
66,intelligence
66,cloud
66,platform
67,article
67,manufacture
67,enabling
67,variety
67,commercial
67,commercial
67,transactions
67,chatbot
67,service
67,driven
67,communication
67,sessions
67,social
67,chat
67,commerce
67,network
67,framework
68,enabling
68,variety
68,commercial
68,commercial
68,transactions
68,chatbot
68,service
68,driven
68,communication
68,sessions
68,social
68,chat
68,commerce
68,network
68,framework
69,computer
69,program
69,product
69,enabling
69,variety
69,commercial
69,commercial
69,transactions
69,chatbot
69,service
69,driven
69,communication
69,sessions
69,social
69,chat
69,commerce
69,network
69,framework
70,social
70,chat
70,commerce
70,network
70,framework
70,enabling
70,variety
70,commercial
70,commercial
70,transactions
70,chatbot
70,service
70,driven
70,communication
70,sessions
71,test
71,package
71,analyzer
72,session
72,recommendation
72,storage
72,medium
73,text
73,processing
73,fused
73,artificial
73,intelligence
74,suggesting
74,fashion
74,artificial
74,intelligence
74,stylist
75,apparatuses
75,defending
75,poisoning
75,attacks
75,recommender
76,commerce
76,product
76,packaging
76,box
76,quality
76,inspection
76,internet
77,virtual
77,fitting
77,real
77,avatar
78,product
78,sales
78,artificial
78,intelligence
79,gaming
79,smart
79,farm
79,farming
79,gaming
80,predicting
80,export
80,date
80,items
80,determining
80,location
80,storing
80,items
80,artificial
80,intelligence
81,model
81,reconstruction
81,blood
81,relationship
81,equipment
81,medium
82,school
82,equipment
82,service
82,commerce
82,platform
82,artificial
82,intelligence
83,apparatuses
83,determining
83,personalized
83,recommendations
83,customer
83,segmentation
84,session
84,recommendation
84,user
84,personalized
84,modeling
84,medium
85,fashion
85,coordination
85,style
85,recommendation
85,artificial
85,intelligence
86,financial
86,analysis
86,management
86,platform
86,management
87,agricultural
87,product
87,commerce
87,platform
87,intelligent
87,recommendation
87,logistics
88,artificial
88,intelligence
88,commerce
88,multi
88,platform
88,sales
89,commerce
89,protection
89,applying
89,artificial
89,intelligence
89,server
90,credit
90,rating
90,collected
90,ecommerce
90,sales
90,distribution
90,management
90,platform
90,performing
91,determining
91,commerce
91,credit
91,assessment
91,scorecard
91,performing
92,application
92,platform
92,labor
92,retail
92,creation
92,communication
93,wifi
93,inside
93,secure
93,iris
93,biometrics
93,login
94,artificial
94,intelligence
94,block
94,chain
94,commerce
94,communication
95,laser
95,shooting
95,education
95,service
95,platform
95,artificial
95,intelligence
96,mobile
96,application
96,virtual
96,survey
97,metaverse
97,fashion
97,item
98,historical
98,model
98,comment
98,analysis
98,related
99,artificial
99,intelligence
99,agents
99,predictive
99,searching
100,machine
100,learning
100,model
100,aggregator
101,machine
101,learning
101,model
101,generation
101,platform
102,machine
102,learning
102,model
102,generator
103,customer
103,loss
103,prediction
103,deep
103,learning
104,code
104,generation
104,custom
104,module
104,equipment
104,storage
104,medium
105,online
105,commodity
105,intelligent
105,delivery
105,management
105,artificial
105,intelligence
106,electronic
106,commerce
106,artificial
106,intelligence
107,commerce
107,platform
107,commodity
107,intelligent
107,recommendation
107,management
107,artificial
107,intelligence
108,evaluating
108,credit
108,basis
108,generated
108,commerce
108,logistics
108,movement
108,process
108,wms
108,performing
109,credit
109,evaluation
109,generated
109,purchase
109,sale
109,inventory
109,logistics
109,distribution
109,settlement
109,commerce
109,solution
109,performing
110,eye
110,examination
111,worldwide
111,vision
111,screening
111,visual
111,field
111,screening
111,booth
111,kiosk
111,exam
111,artificial
111,intelligence
111,screen
111,sharing
111,technology
111,telemedicine
111,video
111,conferencing
111,interconnect
111,patient
111,eye
111,doctor
111,world
111,internet
111,ethernet
111,wifi
111,teleconsultation
111,review
111,results
112,pagetalk
112,multi
112,user
112,commerce
112,platform
112,simultaneous
112,connection
113,sourcing
113,products
113,artificial
113,intelligence
113,category
113,customized
113,review
113,analysis
113,service
114,product
114,classification
114,drive
115,intelligent
115,security
115,verification
115,private
115,communication
115,application
115,scene
116,trading
117,deriving
117,product
117,sales
117,strategy
117,health
117,functional
117,food
117,artificial
117,intelligence
118,dynamic
118,node
118,insertion
118,secondary
118,services
118,availability
118,main
118,decision
118,failure
118,runtime
119,internet
119,service
119,pushing
119,artificial
119,intelligence
120,customized
120,meal
120,plan
120,food
120,ingredient
120,recommendation
120,service
121,offering
121,credit
121,loans
121,electronic
121,commerce
121,online
121,seller
121,artificial
121,intelligence
122,offering
122,credit
122,loans
122,electronic
122,commerce
122,online
122,seller
122,artificial
122,intelligence
123,monitor
123,online
123,counterfeit
123,products
123,artificial
123,intelligence
124,intelligent
124,cross
124,border
124,commerce
124,website
124,security
124,quality
124,assessment
125,single
125,chip
125,automatic
125,delivery
125,vending
125,machine
125,artificial
125,intelligence
126,digital
126,twin
126,marketplace
126,takedown
126,notices
126,responses
126,thereto
127,commerce
127,user
127,analysis
127,artificial
127,intelligence
128,commerce
128,push
128,analysis
128,artificial
128,intelligence
129,commerce
129,anti
129,user
129,portrait
129,artificial
129,intelligence
129,block
129,chain
130,visualization
130,interaction
130,processing
130,artificial
130,intelligence
131,autonomous
131,shopping
131,advance
131,delivery
131,artificial
131,intelligence
132,commodity
132,recommendation
132,artificial
132,intelligence
133,artificial
133,intelligence
133,checking
133,equipment
133,cross
133,border
133,commerce
134,commerce
134,user
134,preference
134,mining
134,artificial
134,intelligence
135,reducing
135,sample
135,selection
135,bias
135,machine
135,learning
135,recommender
136,reducing
136,sample
136,selection
136,bias
136,machine
136,learning
136,recommender
137,reducing
137,sample
137,selection
137,bias
137,machine
137,learning
137,recommender
138,reducing
138,sample
138,selection
138,bias
138,machine
138,learning
138,recommender
139,visualization
139,display
139,equipment
139,storage
139,medium
140,analysis
141,managing
141,health
141,functional
141,food
141,artificial
141,intelligence
142,address
142,similarity
142,real
142,time
142,calculation
142,storage
142,medium
142,computer
142,equipment
143,analytics
143,disparate
143,sources
144,commerce
144,processing
144,applied
144,deep
144,learning
144,artificial
144,intelligence
145,improved
145,recommender
145,shared
145,neural
145,item
145,expression
145,cold
145,start
145,recommendation
146,real
146,time
146,design
146,development
146,internet
146,products
147,commerce
147,product
147,sales
147,store
147,management
147,bigdata
147,mehotd
147,automatic
147,analysis
147,product
147,page
148,multi
148,zone
148,secure
148,artificial
148,intelligence
148,exchange
148,hub
149,apparatuses
149,implementing
149,behavioral
149,responsive
149,adaptive
149,context
149,engine
149,brace
149,emotionally
149,responsive
149,experiences
150,arab
150,commerce
150,service
150,customized
150,online
150,moral
150,inspection
150,commerce
150,service
150,provision
151,online
151,shopping
151,mall
151,curation
151,technology
152,line
152,shopping
152,mall
152,management
152,server
153,commerce
153,purchase
153,deduction
153,algorithm
153,artificial
153,intelligence
154,comment
154,analysis
154,processing
154,chinese
154,word
154,segmentation
155,generation
155,quality
155,scores
155,brand
155,curation
156,clothing
156,processing
156,business
156,enterprise
156,operation
156,clothing
157,personalized
157,commodity
157,recommendation
157,multilayer
157,heterogeneous
157,graph
157,convolution
157,model
158,multi
158,modal
158,knowledge
158,fusion
158,commodity
158,recommendation
158,bilinear
158,pooling
159,commerce
159,platform
159,user
159,feedback
159,analysis
159,artificial
159,intelligence
160,similarity
160,artificial
160,intelligence
160,commerce
160,marketplace
161,metacosm
161,scale
161,real
161,time
161,digital
161,economy
161,supporting
161,nfr
162,user
162,online
162,intention
162,analysis
162,artificial
162,intelligence
162,commerce
162,platform
163,computer
163,network
163,architecture
163,machine
163,learning
163,artificial
163,intelligence
163,active
163,updates
163,outcomes
164,computer
164,network
164,architecture
164,automated
164,claims
164,completion
164,machine
164,learning
164,artificial
164,intelligence
165,augmenting
165,database
165,text
165,analysis
165,language
165,resources
165,therefor
166,managing
166,parking
166,space
166,availability
167,digital
167,platform
167,sustainability
168,abnormal
168,operation
168,association
168,output
168,artificial
168,intelligence
169,cross
169,border
169,commerce
169,intelligent
169,delivery
169,equipment
169,storage
169,medium
170,analysing
170,social
170,media
170,online
170,forum
170,search
170,engine
170,news
170,media
170,cryptocurrency
170,market
170,trading
170,artificial
170,intelligence
170,predict
170,cryptocurrency
170,price
170,trading
170,volumes
171,user
171,optimization
171,artificial
171,intelligence
172,cross
172,border
172,commerce
172,logistics
172,channel
172,intelligent
172,recommendation
172,equipment
172,storage
172,medium
173,disaster
173,recovery
173,analysis
173,adopting
173,artificial
173,intelligence
173,server
174,trade
174,management
174,computer
174,trade
174,management
174,trade
174,management
175,fashion
175,weather
176,computer
176,readable
176,storage
176,medium
176,extracting
176,slot
176,dialogue
177,commerce
177,mining
177,artificial
177,intelligence
177,commerce
177,cloud
177,platform
178,commerce
178,management
178,artificial
178,intelligence
179,commerce
179,user
179,analysis
179,artificial
179,intelligence
180,network
180,engine
181,internet
181,element
181,universe
181,scene
181,customer
181,experience
181,evaluation
181,artificial
181,intelligence
182,online
182,memorial
182,service
182,metaverse
182,artificial
182,intelligence
183,sales
183,arificial
183,intelligence
184,sales
184,arificial
184,intelligence
185,cross
185,border
185,commerce
185,sales
185,production
185,integrated
185,processing
185,artificial
185,intelligence
186,identify
186,interact
186,sellers
187,scalable
187,driven
187,digital
187,marketplace
187,standardized
187,secured
187,interlinking
187,sensitive
187,risk
187,related
188,commerce
188,export
188,platform
188,consumer
188,analysis
188,algorithm
189,product
189,prediction
189,robot
189,commerce
189,commodities
189,implementation
190,multi
190,modal
190,fusion
190,equipment
190,medium
191,training
191,graph
191,neural
191,network
191,equipment
191,storage
191,medium
192,text
192,segmentation
192,recognition
192,equipment
192,artificial
192,intelligence
192,field
192,medium
193,artificial
193,intelligence
193,internet
193,commerce
193,learning
