"Espacenet";"";"";"";"";"";"";"";"";
"Patent search";"";"";"";"";"";"";"";"";
"874 results found for My patents";"";"";"";"";"";"";"";"";
"Results 1 to 874 displayed";"";"";"";"";"";"";"";"";
"";"";"";"";"";"";"";"";"";
"Sort by: Relevance";"";"";"";"";"";"";"";"";
"";"";"";"";"";"";"";"";"";
"No";"Title";"Inventors";"Applicants";"Publication number";"Earliest priority";"IPC";"CPC";"Publication date";"Earliest publication";"Family number";
"1";"APPLICATION RECOMMENDATION ENGINE";"KASSAEI FARHANG [US]";"EBAY INC [US]";"US11734660B2 
US2022230150A1";"2009-03-31";"G06Q30/02 
G06Q30/06 
G06Q20/10 
G06Q30/08 
G06Q30/0241 
G06Q30/0251 
G06Q30/0601";"G06Q20/108 (EP,US) 
G06Q30/0269 (EP,US) 
G06Q30/0277 (EP,US) 
G06Q30/0631 (EP,US) 
G06Q30/08 (EP,US)";"2022-07-21 
2023-08-22";"2010-09-30";"042785394";
"2";"Computer security based on artificial intelligence";"HASAN SYED KAMRAN";"HASAN SYED KAMRAN MR [US]";"AU2024202003A1";"2016-01-24";"G06F21/50 
G06F21/51 
G06F21/53 
G06F21/54 
G06F21/55 
G06F21/56 
G06F21/57 
G06N5/02";"G06F21/50 (EP,IL,KR,RU) 
G06F21/51 (EP,IL,RU) 
G06F21/53 (EP,IL,RU) 
G06F21/54 (EP,IL,RU) 
G06F21/55 (EP,CN,IL,RU) 
G06F21/56 (EP,IL,RU) 
G06F21/563 (CN,IL) 
G06F21/564 (CN,IL) 
G06F21/57 (EP,IL,RU) 
G06F21/577 (CN,IL) 
G06F8/311 (EP,IL) 
G06F8/313 (EP,IL) 
G06F9/455 (EP,IL) 
G06N20/00 (EP,IL) 
G06N5/02 (CN,IL,KR,RU) 
G06N5/025 (EP,IL,RU) 
G06N5/04 (CN,IL,KR) 
H04L63/1408 (CN,IL) 
H04L63/1416 (CN,IL) 
H04L63/1441 (CN,IL) 
H04L63/20 (CN,IL)";"2024-04-18";"2017-07-27";"059362181";
"3";"COMPUTER SECURITY BASED ON ARTIFICIAL INTELLIGENCE";"HASAN SYED KAMRAN [US]";"HASAN SYED KAMRAN [US]";"US2022030009A1";"2016-01-24";"G06N20/00 
G06N3/00 
G06N5/02";"G06N20/00 (EP,US) 
G06N3/006 (EP,US) 
G06N5/022 (US) 
G06N5/025 (EP,US) 
G06N5/04 (US) 
H04L63/1408 (US) 
H04L63/1416 (US) 
H04L63/1425 (EP,US) 
H04L63/1433 (US) 
H04L63/145 (EP,US) 
H04L63/1491 (US) 
H04L63/0272 (EP,US)";"2022-01-27";"2017-07-27";"059359375";
"4";"ACTIONABLE WIDGET CARDS";"SHERWIN REUVEN J [IL] 
KOL TAL SHALOM [IL] 
ZELLNER ADI [IL] 
BIRI YONATAN [IL] 
BURG SHACHAR [IL] 
SHARABI ETHAN [IL] 
KARPEL GURWICZ LIAT [IL] 
BEN-AHARON RONI [IL]";"WIX COM LTD [IL]";"US20260028318A1";"2016-12-21";"C07D231/48";"C07D231/48 (EP,US) 
G06F40/186 (EP,US) 
G06F8/34 (EP,US) 
G06F9/451 (EP,IL,US) 
G06N20/00 (EP) 
G06N5/04 (IL,US) 
G06Q10/10 (EP) 
G06Q10/40 (EP,IL) 
G06Q10/42 (EP,IL) 
G06Q10/48 (EP,IL) 
G06Q30/0251 (EP) 
G06Q30/0601 (EP) 
G06Q30/0613 (EP) 
G06Q30/0641 (EP) 
G06Q30/0643 (EP,IL,US)";"2026-01-29";"2018-06-21";"062561721";
"5";"METHOD AND SYSTEM FOR GENERATING INSIGHTS REGARDING A PARTY IN RESPONSE TO A CALL";"KARANI VIJAY [US] 
TYAGI JAYANT [US]";"SALESFORCE INC [US]";"US2024095748A1";"2018-01-18";"G06F21/62 
G06Q30/01 
H04M3/42";"G06F21/6218 (EP) 
G06F21/6245 (US) 
G06Q30/015 (EP,US) 
H04M3/42068 (US) 
H04M3/4217 (US) 
H04M3/5183 (EP) 
H04M2201/38 (EP)";"2024-03-21";"2019-07-18";"067212991";
"6";"System, method, and computer program for implementing a marketplace for artificial intelligence (AI) based managed network services";"HERMONI OFER [US] 
SANDLERMAN NIMROD [IL] 
FELSTAINE EYAL [IL]";"AMDOCS DEVELOPMENT LTD [CY]";"US11327805B1";"2018-03-07";"G06F11/30 
G06F9/50 
G06K9/62 
G06N20/00 
G06N5/02 
H04L67/562";"G06F11/0787 (US) 
G06F11/3006 (US) 
G06F16/1734 (US) 
G06F18/214 (US) 
G06F21/566 (US) 
G06F9/505 (US) 
G06N20/00 (US) 
G06N5/025 (US) 
G06Q30/0201 (US) 
H04L41/046 (US) 
H04L41/0604 (US) 
H04L41/0609 (US) 
H04L41/0622 (US) 
H04L41/069 (US) 
H04L41/0803 (EP,US) 
H04L41/0813 (US) 
H04L41/0816 (US) 
H04L41/0859 (EP,US) 
H04L41/0866 (US) 
H04L41/12 (US) 
H04L41/142 (US) 
H04L41/145 (US) 
H04L41/147 (US) 
H04L41/16 (EP,US) 
H04L41/20 (US) 
H04L41/5009 (US) 
H04L41/5051 (US) 
H04L43/04 (US) 
H04L43/06 (US) 
H04L43/062 (US) 
H04L43/067 (US) 
H04L43/0876 (US) 
H04L43/16 (US) 
H04L47/788 (US) 
H04L63/1416 (US) 
H04L63/1425 (US) 
H04L63/1458 (US) 
H04L67/10 (US) 
H04L67/1001 (US) 
H04L67/562 (US) 
G06F11/3419 (US) 
G06N3/02 (US)";"2022-05-10";"2019-09-12";"067842769";
"7";"ARTIFICIAL INTELLIGENCE AND ELECTRONIC COMMERCE SYSTEMS FOR IMPROVING EMOTIONAL STATE AND OPTIMIZING OPERATING PARAMETER OF VEHICLE";"CELLA CHARLES HOWARD [US]";"STRONG FORCE TP PORTFOLIO 2022 LLC [US]";"US2023055941A1";"2018-09-30";"B60W40/08 
G01C21/34 
G05B13/02 
G05D1/00 
G05D1/02 
G06F40/40 
G06N20/00 
G06N3/04 
G06N3/08 
G06Q50/18 
G06Q50/30 
G06V20/64 
G07C5/00 
G07C5/02 
G07C5/08";"A61B5/165 (EP,US) 
A61B5/168 (EP) 
A61B5/6893 (EP,US) 
A61B5/7264 (EP,US) 
B60W40/08 (US) 
G01C21/3438 (US) 
G01C21/3461 (US) 
G01C21/3469 (US) 
G01C21/3617 (US) 
G05B13/027 (US) 
G05D1/0022 (US) 
G05D1/0088 (US) 
G05D1/0212 (US) 
G05D1/0287 (US) 
G05D1/20 (US) 
G05D1/224 (US) 
G05D1/225 (US) 
G05D1/226 (US) 
G05D1/227 (US) 
G05D1/228 (US) 
G05D1/229 (US) 
G05D1/24 (US) 
G05D1/43 (US) 
G05D1/646 (US) 
G05D1/69 (US) 
G05D1/692 (US) 
G05D1/81 (US) 
G06F18/2414 (EP,US) 
G06F40/40 (US) 
G06N20/00 (US) 
G06N3/0418 (US) 
G06N3/044 (EP,US) 
G06N3/0442 (EP) 
G06N3/045 (EP,US) 
G06N3/0464 (EP) 
G06N3/08 (US) 
G06N3/082 (EP) 
G06N3/086 (EP,US) 
G06N3/09 (EP) 
G06N3/092 (EP) 
G06N3/126 (EP,US) 
G06Q30/0208 (US) 
G06Q30/0265 (EP,US) 
G06Q50/188 (EP,US) 
G06Q50/40 (EP,US) 
G06V10/764 (EP,US) 
G06V10/82 (EP,US) 
G06V20/56 (EP,US) 
G06V20/59 (US) 
G06V20/597 (EP,US) 
G06V20/64 (US) 
G07C5/006 (US) 
G07C5/008 (US) 
G07C5/02 (US) 
G07C5/08 (US) 
G07C5/0808 (US) 
G07C5/0816 (US) 
G07C5/0866 (US) 
G07C5/0891 (US) 
G10L15/16 (US) 
G10L25/63 (US) 
A61B2503/22 (EP,US) 
A61B2562/0219 (EP,US) 
A61B2562/0223 (EP,US) 
A61B5/0059 (EP,US) 
A61B5/0533 (EP,US) 
A61B5/1176 (EP,US) 
A61B5/163 (EP,US) 
A61B5/369 (EP,US) 
B60W2040/0881 (US) 
G01C21/3438 (EP) 
G01C21/3469 (EP) 
G01C21/3484 (EP,US) 
G05D2101/10 (US) 
G06N3/02 (US) 
G06N3/048 (EP,US) 
G06N3/08 (EP) 
G06Q10/40 (EP,US) 
G06Q10/42 (EP) 
G06Q10/44 (EP) 
G06Q30/0281 (US) 
G08G1/0968 (EP,US) 
G08G1/20 (EP,US) 
Y02T10/62 (EP) 
Y02T10/70 (EP,US) 
Y02T10/7072 (EP,US) 
Y02T90/12 (EP,US)";"2023-02-23";"2020-04-02";"069953381";
"8";"METHODS AND SYSTEMS FOR IMPROVING MACHINES AND SYSTEMS THAT AUTOMATE EXECUTION OF DISTRIBUTED LEDGER AND OTHER TRANSACTIONS IN SPOT AND FORWARD MARKETS FOR ENERGY, COMPUTE, STORAGE AND OTHER RESOURCES";"CELLA CHARLES HOWARD";"STRONG FORCE TX PORTFOLIO 2018 LLC [US]";"AU2025234243A1";"2018-10-29";"G06N20/00 
G06Q10/063 
H04L9/40";"G06Q10/04 (EP) 
G06Q20/202 (EP) 
G06Q20/389 (EP) 
G06Q30/02 (EP) 
G06Q40/03 (EP) 
G06Q50/06 (EP) 
H04L9/50 (EP) 
G06Q2220/00 (EP) 
Y02P90/90 (EP)";"2025-10-16";"2020-05-07";"070462375";
"9";"TOKENIZATION PLATFORM";"YANTIS JONATHAN [US] 
QUIGLEY WILLIAM EDWARD [US] 
SLIWKA LUKASZ JAKUB [US]";"VERONA HOLDINGS SEZC [KY]";"US12147955B2 
US2022058630A1";"2018-11-02";"G06Q20/36 
G06Q30/00 
G06F21/60 
G06Q20/12 
G06Q20/32 
G06Q20/34 
G06Q20/38 
G06Q20/40 
G06Q30/018 
G06Q20/36";"G06F21/602 (EP,US) 
G06F21/64 (EP) 
G06Q20/065 (EP,IL) 
G06Q20/123 (EP,CN,IL,US) 
G06Q20/1235 (EP) 
G06Q20/326 (CN,US) 
G06Q20/342 (EP,CN,IL,US) 
G06Q20/367 (KR) 
G06Q20/3676 (EP) 
G06Q20/38215 (EP,CN,IL,US) 
G06Q20/387 (EP,CN,IL) 
G06Q20/389 (EP) 
G06Q20/40 (US) 
G06Q20/4016 (EP,CN,IL) 
G06Q20/405 (EP,CN,IL) 
G06Q30/0185 (EP,CN,US) 
G06Q40/03 (CN) 
H04L9/3213 (KR) 
H04L9/50 (EP,KR) 
G06Q20/1235 (US) 
G06Q20/3672 (US) 
G06Q2220/00 (EP,IL,US)";"2022-02-24 
2024-11-19";"2020-05-07";"070463916";
"10";"ARTIFICIAL INTELLIGENCE SYSTEM FOR IMAGE ANALYSIS AND ITEM SELECTION";"SAZAN DAVID [US]";"SAZAN DAVID [US]";"US2024331002A1";"2019-04-30";"G06F3/0484 
G06Q30/0601 
G06T7/13 
G06T7/73 
G06V10/44 
G06V10/764 
G06V10/82 
G06V20/20 
G06V40/10";"G06F18/2413 (EP) 
G06F3/0484 (US) 
G06Q30/0625 (EP,US) 
G06Q30/0631 (EP,US) 
G06T7/13 (US) 
G06T7/73 (US) 
G06V10/44 (EP,US) 
G06V10/764 (EP,US) 
G06V10/82 (EP,US) 
G06V20/20 (EP,US) 
G06V40/10 (EP,US) 
G06T2207/10016 (US) 
G06T2207/30196 (US)";"2024-10-03";"2020-11-05";"073016597";
