Applicants,patents
WISEFASHION INC [KR],14
HUNAN YIFENXIAO E COMMERCE CO LTD,10
CHANGSHA HISHOP NETWORK TECH CO LTD,9
STATE GRID CORP CHINA,7
UNIV HEFEI TECHNOLOGY,7
UNIV NORTH CAROLINA STATE [US],7
UNIV SOUTHEAST,7
FOODPANG CO LTD [KR],6
LU YAPENG,6
VIRALPICK CO LTD [KR],6
HUNAN YISHANG POWER NETWORK TECH CO LTD,5
CAMBRIA ANDREA [US],4
HITACHI LTD,4
KUNMING ELECTRIC POWER TRANSACTION CENTER CO LTD,4
PLANETA CO LTD [KR],4
RICCI RICHARD [US],4
SEKYUNG INT [KR],4
TOMICH JOHN [US],4
UNIV SCIENCE & TECHNOLOGY CHINA,4
VISUALNET INC [KR],4
