"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Cited by","DOI","Link","Affiliations","Authors with affiliations","Abstract","Author Keywords","Index Keywords","Correspondence Address","Editors","Publisher","ISSN","ISBN","CODEN","PubMed ID","Language of Original Document","Abbreviated Source Title","Document Type","Publication Stage","Open Access","Source","EID"
"Li R.; Jiang Y.; Erbolat A.","Li, Rende (57191223468); Jiang, Ying (60190843200); Erbolat, Alia (59247317900)","57191223468; 60190843200; 59247317900","Core capability boundaries in library Reading promotion: Insourcing versus outsourcing configurations","2026","IFLA Journal","52","2","","346","360","5","10.1177/03400352251392265","https://www.scopus.com/pages/publications/105021510406?origin=resultslist","University of Shanghai for Science and Technology, Shanghai, China; Shanghai University, Shanghai, China","Li R., University of Shanghai for Science and Technology, Shanghai, China; Jiang Y., University of Shanghai for Science and Technology, Shanghai, China; Erbolat A., Shanghai University, Shanghai, China","As digital transformation accelerates outsourcing adoption in university libraries, concerns emerge regarding core capability erosion in reading promotion services, yet systematic understanding of optimal insourcing–outsourcing boundary choices remains limited. This study employs crisp-set Qualitative Comparative Analysis to examine 2399 reading promotion activities from 19 Shanghai universities over the past 5 years, analyzing configurational pathways across four capability dimensions: core collections, distinctive services, data elements, and library spaces. Results reveal asymmetric advantages between service models: insourcing pathways achieve effectiveness through physical space–staff synergy (CO1–CO3, consistency = 0.897–1.000), emphasizing face-to-face interactions and professional relationships, while outsourcing pathways leverage technology–expertise coupling (SO1–SO3, consistency = 0.860–1.000), integrating virtual platforms with external knowledge resources. No single capability proves necessary for success, confirming configurational causality in reading promotion effectiveness. These findings demonstrate that sustainable competitive advantage emerges from capability-specific boundary delineation rather than wholesale outsourcing strategies, providing theoretical insights for capability-based outsourcing decisions and practical guidance for dynamic resource allocation in library digital transformation contexts. © The Author(s) 2025","Configurational analysis; core capabilities; insourcing–outsourcing; reading promotion; university libraries","","R. Li; Library, University of Shanghai for Science and Technology, Shanghai, 516 Jungong Rd., 200093, China; email: lirende@usst.edu.cn","","SAGE Publications Ltd","03400352","","","","English","IFLA J.","Article","Final","","Scopus","2-s2.0-105021510406"
"Wang S.; Gong X.; Lu G.","Wang, Shuman (59699412100); Gong, Xiuyun (58189558900); Lu, Guangpeng (59699412200)","59699412100; 58189558900; 59699412200","Investigating Challenges and Implementing Strategies for Digital Transformation in the Field of Circulation Enterprises","2025","Frontiers in Artificial Intelligence and Applications","403","","","13","23","0","10.3233/FAIA250004","https://www.scopus.com/pages/publications/105000223323?origin=resultslist","Business School, Beijing Wuzi University, China","Wang S., Business School, Beijing Wuzi University, China; Gong X., Business School, Beijing Wuzi University, China; Lu G., Business School, Beijing Wuzi University, China","With the profound development of the global economy and the continuous innovation of information technology, circulation enterprises are encountering unprecedented challenges and opportunities for digital transformation. As one of the world's largest consumer markets, China's circulation enterprises' process and outcomes of digital transformation will exert a significant impact on the global business ecosystem. Revised sentence: ""This paper conducts a comprehensive analysis of the questionnaires collected from 356 circulation enterprises in the wholesale, retail, and logistics industries through literature review and questionnaire survey. It deeply examines the challenges faced by Chinese circulation enterprises in their digital transformation process and proposes corresponding countermeasures to provide valuable insights for the sustainable development of these enterprises. The challenges encountered in the digital transformation of circulation enterprises include low security performance, inadequate talent reserve, limited government funds, and legal support. © 2025 The Authors.","circulation enterprise; Digital transformation; operational efficiency","Business ecosystem; Circulation enterprise; Consumer market; Continuous innovation; Digital transformation; Enterprise IS; Global business; Global economies; Large consumers; Operational efficiencies","G. Lu; Beijing Wuzi University, China; email: 1109631904@qq.com","Tallon-Ballesteros A.J.","IOS Press BV","09226389","978-164368582-3","","","English","Front. Artif. Intell. Appl.","Conference paper","Final","All Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-105000223323"
"Wang Y.; Chen Y.; Huang S.","Wang, Yun (58096066700); Chen, Yuqing (58099346800); Huang, Song (55692078900)","58096066700; 58099346800; 55692078900","Agricultural supply chain financing strategy with social responsibility consideration under platform financing mode","2023","Electronic Commerce Research and Applications","62","","101337","","","16","10.1016/j.elerap.2023.101337","https://www.scopus.com/pages/publications/85177891098?origin=resultslist","College of Economics and Management, South China Agricultural University, Guangzhou, 510642, China","Wang Y., College of Economics and Management, South China Agricultural University, Guangzhou, 510642, China; Chen Y., College of Economics and Management, South China Agricultural University, Guangzhou, 510642, China; Huang S., College of Economics and Management, South China Agricultural University, Guangzhou, 510642, China","Farmers are beginning to promote their agricultural products through e-commerce platform marketplaces beyond conventional retail modes. Platform financing based on this new retail model has gained popularity in e-commerce agricultural supply chains. This study investigates strategic decisions in a dual-channel supply chain, where a capital-constrained farmer can receive funds from an e-commerce platform or a bank under a socially responsible (for-profit) scenario in which the platform does (does not) consider social responsibility. We examine the farmer's preference between different financing modes (bank versus platform financing) and study the influences of the social responsibility concern on optimal decisions for the farmer and platform and supply chain performance. This study provides some relevant results. First, the farmer faces a trade-off when choosing a financing format: the wholesale price is higher under bank financing, whereas the total planting quantity is higher under platform financing. Second, the comparisons for different financing formats show that when the platform financing rate is relatively low, the farmer and the supply chain prefer platform financing, which is influenced by other significant parameters, such as bank financing rate, commission rate, and social responsibility concern. Third, the social responsibility concern positively influences farmer and supply chain preferences for platform financing. Additionally, the platform's and supply chain's profitability and consumer surplus exhibit non-monotonic relationships with the concern about social responsibility, although the farmer's profit grows with the increased social responsibility concern. Finally, we examine the situation in which the farmer has a non-zero initial capital. © 2023 Elsevier B.V.","Agricultural supply chain; e-commerce platform; Financing preference; Platform financing; Social responsibility","Agricultural products; Economic and social effects; Electronic commerce; Finance; Profitability; Agricultural supply chains; Commerce platforms; E- commerces; E-commerce platform; Financing preference; Financing strategies; Platform financing; Social responsibilities; Strategic decisions; Supply chain financings; Supply chains","S. Huang; College of Economics and Management, South China Agricultural University, Guangzhou, 510642, China; email: huangsong@scau.edu.cn","","Elsevier B.V.","15674223","","","","English","Elect. Commer. Res. Appl.","Article","Final","","Scopus","2-s2.0-85177891098"
"Strotmann C.; Baur V.; Börnert N.; Gerwin P.","Strotmann, Christina (57193134856); Baur, Vanessa (57225067065); Börnert, Nora (57225068439); Gerwin, Paula (57225077949)","57193134856; 57225067065; 57225068439; 57225077949","Generation and prevention of food waste in the German food service sector in the COVID-19 pandemic – Digital approaches to encounter the pandemic related crisis","2022","Socio-Economic Planning Sciences","82","","101104","","","51","10.1016/j.seps.2021.101104","https://www.scopus.com/pages/publications/85109099101?origin=resultslist","Institute of Sustainable Nutrition (iSuN), Münster University of Applied Sciences, Corrensstr. 25, Münster, 48149, Germany","Strotmann C., Institute of Sustainable Nutrition (iSuN), Münster University of Applied Sciences, Corrensstr. 25, Münster, 48149, Germany; Baur V., Institute of Sustainable Nutrition (iSuN), Münster University of Applied Sciences, Corrensstr. 25, Münster, 48149, Germany; Börnert N., Institute of Sustainable Nutrition (iSuN), Münster University of Applied Sciences, Corrensstr. 25, Münster, 48149, Germany; Gerwin P., Institute of Sustainable Nutrition (iSuN), Münster University of Applied Sciences, Corrensstr. 25, Münster, 48149, Germany","The COVID-19 pandemic has affected the food service processes and operations in many ways, such as the use of contactless payment methods or ordering systems has increased. Despite the pandemic-related obstacles the sector faces, SDG12.3, halving food waste at the retail and consumer levels by 2030, needs to be achieved. This study therefore examines the two questions: How far has the pandemic affected the generation of food waste and the implementation of prevention measures? How does the use of digital technology, which has been increasingly accessed since the beginning of the pandemic, offer opportunities to further reduce food waste in the sector? Two online surveys were conducted. In the first survey, 84% of the 170 respondents indicated not to implement further food waste reduction measures since the start of the pandemic, while 11% do. They engaged in more targeted purchasing activities based on more conscious planning of the production volume, the reduction of menus offered, and the standardisation of menu components. In total, 91 food service companies provided data on the food wasted (in %) before and since the pandemic. Of the 179 entries made for the different waste categories, 47% indicated waste had not changed, while 42% and 11% indicated an increase/decrease, respectively. In the context of the ongoing digitalisation of the sector, possible fields of action for digital applications were identified, which are helpful in combating food waste in general and specifically during the pandemic. In this study, a classification scheme for digital food waste reduction approaches was developed. These approaches are systemised into four categories: forecasting, waste analysis, redistribution, and measures catalogue. Further, the process steps in which the applications are applied are indicated and direct and indirect effects on the generation of food waste are provided. © 2021 The Authors","COVID-19; Digital technologies; Digital transformation; Food service sector; Food waste; Sustainability","Germany; COVID-19; epidemic; food security; hospital sector; innovation; service sector; technological development; waste management","C. Strotmann; Institute of Sustainable Nutrition (iSuN), Münster University of Applied Sciences, Münster, Corrensstr. 25, 48149, Germany; email: Christina.Strotmann@fh-muenster.de","","Elsevier Ltd","00380121","","","","English","Socio-Econ. Plann. Sci.","Article","Final","All Open Access; Green Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-85109099101"
"Pangbourne K.; Mladenović M.N.; Stead D.; Milakis D.","Pangbourne, Kate (13103268700); Mladenović, Miloš N. (36696567500); Stead, Dominic (57214703978); Milakis, Dimitris (6504547315)","13103268700; 36696567500; 57214703978; 6504547315","Questioning mobility as a service: Unanticipated implications for society and governance","2020","Transportation Research Part A: Policy and Practice","131","","","35","49","278","10.1016/j.tra.2019.09.033","https://www.scopus.com/pages/publications/85072749072?origin=resultslist","Institute for Transport Studies, University of Leeds, United Kingdom; Department of Built Environment, Aalto University, Finland; Faculty of Architecture and the Built Environment, Delft University of Technology, Netherlands; Institute of Transport Research, German Aerospace Center (DLR), Germany","Pangbourne K., Institute for Transport Studies, University of Leeds, United Kingdom; Mladenović M.N., Department of Built Environment, Aalto University, Finland; Stead D., Faculty of Architecture and the Built Environment, Delft University of Technology, Netherlands; Milakis D., Institute of Transport Research, German Aerospace Center (DLR), Germany","In this paper we focus on the development of a new service model for accessing transport, namely Mobility as a Service (MaaS) and present one of the first critical analyses of the rhetoric surrounding the concept. One central assumption of one prevalent MaaS conceptualization is that transport services are bundled into service packages for monthly payment, as in the telecommunication or media service sectors. Various other forms of MaaS are being developed but all tend to offer door-to-door multi-modal mobility services, brokered via digital platforms connecting users and service operators. By drawing on literature concerned with socio-technical transitions, we address two multi-layered questions. First, to what extent can the MaaS promises (to citizens and cities) be delivered, and what are the unanticipated societal implications that could arise from a wholesale adoption of MaaS in relation to key issues such as wellbeing, emissions and social inclusion? Second, what are de facto challenges for urban governance if the packaged services model of MaaS is widely adopted, and what are the recommended responses? To address these questions, we begin by considering the evolution of intelligent transport systems that underpin the current vision of MaaS and highlight how the new business model could provide a mechanism to make MaaS truly disruptive. We then identify a set of plausible unanticipated societal effects that have implications for urban planning and transport governance. This is followed by a critical assessment of the persuasive rhetoric around MaaS that makes grand promises about efficiency, choice and freedom. Our conclusion is that the range of possible unanticipated consequences carries risks that require public intervention (i.e. steering) for reasons of both efficiency and equity. © 2019 The Authors","Equity; Governance; Mobility as a service; Smart mobility; Technological transition","Efficiency; Intelligent systems; Public risks; Telecommunication industry; Telecommunication services; Traffic control; Urban transportation; Critical assessment; Equity; Governance; Intelligent transport systems; Public interventions; Societal implications; Socio-technical transitions; Technological transition; accessibility; conceptual framework; efficiency measurement; governance approach; intelligent transportation system; mobility; technological development; technology adoption; transportation planning; Service industry","K. Pangbourne; Institute for Transport Studies, University of Leeds, Leeds, LS2 9JT, United Kingdom; email: k.j.pangbourne@leeds.ac.uk","","Elsevier Ltd","09658564","","","","English","Transp. Res. Part A Policy Pract.","Article","Final","All Open Access; Green Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-85072749072"
"Anand G.; Vashisht P.; Singh S.P.","Anand, Gurjapna (57703448400); Vashisht, Priyanka (36919727000); Singh, Simar Preet (56647808100)","57703448400; 36919727000; 56647808100","Dynamic Price Management System in a Distributed Cloud Environment","2023","Proceedings of International Conference on Contemporary Computing and Informatics, IC3I 2023","","","","1669","1676","0","10.1109/IC3I59117.2023.10397785","https://www.scopus.com/pages/publications/85187265722?origin=resultslist","Amity University, Department of Computer Science and Engineering, Haryana, India; School of Computer Science and Technology Bennett University, Uttar Pradesh, Greater Noida, India","Anand G., Amity University, Department of Computer Science and Engineering, Haryana, India; Vashisht P., Amity University, Department of Computer Science and Engineering, Haryana, India; Singh S.P., School of Computer Science and Technology Bennett University, Uttar Pradesh, Greater Noida, India","With the increase in the number of e-commerce applications on the internet, the demand and supply of commodities have increased. Though a static pricing system can be used in today's evolving market, prices of a commodity ought to be dynamically updated to improve revenues. The main challenge is to design a system dealing with real-time price updating based on the analysis of the available and complex data. The fundamental challenge is to design a dynamic price management system that meets the demand of customers and the availability of a commodity to maximize revenues with minimum cost and time involvement. In this paper, a Dynamic price management system (DPMS) for a flexible and connected smart nation has been designed to control and monitor the pricing of a commodity from selling platforms like retail, wholesale, the company's website, and e-commerce. Enormous pricing management system models have been researched, but in this paper, our objective is to provide a flexible, versatile, and intellectual pricing management system that handles the pricing of a commodity through a single interface for all the selling platforms. Smart pricing is the dynamic adjustment of prices or repricing of a commodity based on the market demand for a product. This model simplifies the vendors'problem of controlling a homogenous commodity's price component on different selling platforms like retail, wholesale, and e-commerce for a fully connected smart nation.  © 2023 IEEE.","catalogue management; cloud-based dynamic price model; distributed cloud; e-commerce; pricing management; smart nation","Costs; Electronic commerce; Sales; Catalog management; Cloud-based; Cloud-based dynamic price model; Distributed clouds; Dynamic price; E- commerces; Management systems; Price models; Pricing managements; Smart nation; Distributed cloud","","","Institute of Electrical and Electronics Engineers Inc.","","979-835030448-0","","","English","Proc. Int. Conf. Contemp. Comput. Informatics, IC3I","Conference paper","Final","","Scopus","2-s2.0-85187265722"
"Sharma D.R.; Singh B.; Jaiswal K.","Sharma, Devika Rani (57222489312); Singh, Balgopal (57202959822); Jaiswal, Kamal (55378099100)","57222489312; 57202959822; 55378099100","Understanding the Influence of Mobile In-App Price Promotions in Food Delivery Apps on Customer Engagement and Advocacy","2023","Indian Journal of Marketing","53","7","","8","29","10","10.17010/ijom/2023/v53/i7/170023","https://www.scopus.com/pages/publications/85165869953?origin=resultslist","School of Business, GITAM (Deemed to Be University), Telangana, Hyderabad, India; FMS, Banasthali Vidyapith, Rajasthan, 304 022, India; Higher Colleges of Technology, Abu Dhabi, United Arab Emirates","Sharma D.R., School of Business, GITAM (Deemed to Be University), Telangana, Hyderabad, India; Singh B., FMS, Banasthali Vidyapith, Rajasthan, 304 022, India; Jaiswal K., Higher Colleges of Technology, Abu Dhabi, United Arab Emirates","Purpose: With the emergence of e-commerce, food ordering through mobile-app also witnessed significant growth akin to other products. However, the consumers’ switching rates for online food service provider was found to be high. Traditional marketing wisdom suggested various forms of promotion to counter this. The form of promotion mainly suggested was price promotion. The objective of the present study was to understand the role of in-app price promotion between consumer engagement and advocacy relationships in the context of food delivery applications. Methodology: The descriptive research design was adopted to further the study. A research model depicting the proposed hypotheses was developed based on social exchange and incentive theories. Data were collected through an online questionnaire from 293 users of food delivery applications from the Delhi-NCR region. PLS-SEM was used to test the hypothesized relationships between the constructs. Findings: The study established that in-app price promotion was positively associated with consumer advocacy and fully mediated the relationship between consumer engagement and advocacy. Practical Implications: This study strongly recommended that food delivery app managers should frequently offer in-app price discount coupons to their existing customers. Availing of promotional benefits would help spread positive word-of-mouth about food and service quality. Positive advocacy would be beneficial to attract new customers. This study would also be helpful to future researchers in the conceptualizing study in another e-commerce context. Originality: This study was the first to determine the role of in-app price promotion between consumer engagement and advocacy relationships in the online food-delivery app context. © 2023, Associated Management Consultants Pvt. Ltd.. All rights reserved.","consumer advocacy; customer engagement; food delivery apps; in-app price promotion","","B. Singh; FMS, Banasthali Vidyapith, Rajasthan, 304 022, India; email: balgopalsingh@banasthali.in","","Associated Management Consultants Pvt. Ltd.","09738703","","","","English","Ind. J. Mark.","Article","Final","All Open Access; Bronze Open Access","Scopus","2-s2.0-85165869953"
"Guoqiang S.; Yong W.; Yulan D.; Dejian X.","Guoqiang, Shi (57420985600); Yong, Wang (57421525200); Yulan, Duan (57421311900); Dejian, Xia (57421525300)","57420985600; 57421525200; 57421311900; 57421525300","The research on the contract choice between the manufacturer and the e-commerce platform in the presence of direct channel; [直销渠道开通的情形下制造商与 电商平台合约选择的研究]","2021","Journal of Industrial Engineering and Engineering Management","35","1","","179","188","10","10.13587/j.cnki.jieem.2021.01.016","https://www.scopus.com/pages/publications/85123249304?origin=resultslist","School of Economics and Business Administration, Chongqing University, Chongqing, 400044, China; Chongqing Key Laboratory of Logistics, Chongqing University, Chongqing, 400044, China","Guoqiang S., School of Economics and Business Administration, Chongqing University, Chongqing, 400044, China, Chongqing Key Laboratory of Logistics, Chongqing University, Chongqing, 400044, China; Yong W., School of Economics and Business Administration, Chongqing University, Chongqing, 400044, China, Chongqing Key Laboratory of Logistics, Chongqing University, Chongqing, 400044, China; Yulan D., School of Economics and Business Administration, Chongqing University, Chongqing, 400044, China, Chongqing Key Laboratory of Logistics, Chongqing University, Chongqing, 400044, China; Dejian X., School of Economics and Business Administration, Chongqing University, Chongqing, 400044, China, Chongqing Key Laboratory of Logistics, Chongqing University, Chongqing, 400044, China","With the rise of online retailing, two popular forms of distribution contracts used by e-commerce platforms are the wholesale contract and the agency contract. Under the wholesale contract, e-commerce platforms purchase products from upstream manufacturersfor a wholesale price, and then determine retail prices for consumers. For example, BestBuy and Zappos adopt the wholesale contract.Under agency contract, manufacturers sell their products directly to online consumers by paying platform usage fee to e-commerceplatforms. This contract has been widely embraced, for example, Taobao in china and Flipkart in India. Although both contracts areemployed, different distribution contracts lead to different channel efficiency. Under the former one, the manufacturer sets thewholesale price, followed by the e-commerce platform setting the retail price, which leads to the problem of double marginalization.Under the latter one, the manufacturer sets the retail price, which reduces the problem of double marginalization. Therefore, theagency contract is more efficient than the wholesale contract. However, the manufacturer must pay platform usage fee to the ecommerceplatform under the agency contract. So, the choice of the contract between the manufacturer and the e-commerce platformneeds the deeper understanding.In addition, many manufacturers sell products through not only the e-commerce platform, but also the direct channel. In the directchannel, the manufacturer directly sells products to end consumers, which can mitigate the double-marginalization effect caused by thewholesale contract. If one manufacturer sets a direct channel, which contract should it use? In other words, how the direct channel affects the choice of the contract between the manufacturer and the e-commerce platform? Does the increased platform usage fee alwaysbring benefits with the e-commerce platform? Does the manufacturer always benefit from the direct channel? Under which contract is thesupply chain more efficient?Motivated by that, we consider a supply chain, in which one manufacturer sells products through not only the direct channel, butalso the e-commerce platform channel. In the e-commerce platform channel, the manufacturer may choose the wholesale contract or theagency contract. We use multistage game to study the firms’ equilibrium decisions. Under the wholesale contract, the manufacturerfirst sets a wholesale price, and then the manufacturer and the e-commerce platform set the retail price, respectively. Under the agencycontract, the manufacturer sets the direct price and the agency price, respectively. By a game-theoretic approach, we gain the followingresults.In the beginning, comparing the e-commerce platform’ s equilibrium payoffs under the agency contract with that under thewholesale contract, we get the conditions under which the agency contract is preferred or the wholesale is preferred by themanufacturer. When the platform fee rate is large, the manufacturer always prefers the wholesale contract. And when the platform feerate is small, the manufacturer prefers the agency contract (the wholesale contract) if the discount coefficient is small (large).Similarly, we can attain the conditions under which the agency contract is preferred or the wholesale is preferred by the e-commerceplatform. When the platform fee rate is large, the e-commerce platform always chooses the agency contract. And when the platform feerate is small, the e-commerce platform chooses the agency contract (the wholesale contract) if the discount coefficient is large(small). Therefore, we can achieve a Pareto improvement zone, in which both the manufacturer and the e-commerce platform preferthe agency contract to the wholesale contract.Next, we examine whether the manufacturer should introduce the direct channel when it sells products through the e-commerceplatform channel. The result indicates that the manufacturer always benefits the direct channel regardless of the agency contract or thewholesale contract. The reason is that the direct channel can alleviate the double marginalization effect under the wholesale contract,and in face of the threat of the direct channel, the e-commerce platform will decrease the platform usage fee.And then, we study how the profits of the e-commerce platform depend on the platform fee rate. Generally, the more the platformfee rate is, the more profits the e-commerce platform can get. However, we achieve different conclusions. When the discountcoefficient is small, the e-commerce platform is better off as the platform fee rate becomes larger. But when the discount coefficient islarge, the e-commerce platform is worse off as the platform fee rate becomes larger. The reason is that when the platform fee rate isquite large, the manufacturer will increase the retailing quantity of the direct channel, and then decrease the retailing quantity of the ecommerceplatform channel.Finally, we also compare the efficiency of the online retailing system under the agency contract with that under the wholesalecontract. We find that the agency contract makes the online retailing system higher efficient than the wholesale contract when thediscount coefficient is small, otherwise, vise versa. The reason is that the direct channel alleviates the double marginalization effect ifthey adopt the wholesale contract, but the direct channel decreases the efficiency of the online retailing system under the agencycontract © 2021. Journal of Industrial Engineering and Engineering Management. All Rights Reserved.","Agency contract; The direct channel; The double marginalization effect; The online retailing system; Wholesale contract","","","","Zhejiang University","10046062","","","","Chinese","J. Industrial Eng. Eng. Management","Article","Final","","Scopus","2-s2.0-85123249304"
"Cheng S.; Jiang Y.","Cheng, Shanshan (60221984500); Jiang, Yi (60222708600)","60221984500; 60222708600","Effects of social media marketing on rural tourism product sales: evidence from controlled experiments","2025","Frontiers in Sustainable Food Systems","9","","1714233","","","1","10.3389/fsufs.2025.1714233","https://www.scopus.com/pages/publications/105023713423?origin=resultslist","School of Economics and Management, Vocational Institute of Engineering, Changzhou, China; School of Information Engineering, Yangzhou University, YangZhou, China","Cheng S., School of Economics and Management, Vocational Institute of Engineering, Changzhou, China; Jiang Y., School of Information Engineering, Yangzhou University, YangZhou, China","Introduction: Rural tourism enterprises face critical market access challenges, with 70% reporting inadequate sales channels as their primary growth barrier. Despite widespread adoption of digital platforms in rural China, rigorous causal evidence on social media marketing effectiveness remains scarce. Methods: This randomized controlled trial (N = 142) examined social media marketing interventions among rural tourism merchants in Southwest China over 16 weeks. Merchants were randomly assigned to treatment (n = 71, receiving structured interventions across short-video, live-streaming, and social media platforms) or control (n = 71) groups. Results: Social media marketing generated an average treatment effect of 7,385 CNY monthly sales increase (23.1% gain, Cohen’s d = 0.82) with overall ROI of 2.87. Critical platform heterogeneity emerged: short-video platforms achieved highest ROI (3.42) but lowest conversion (2.3%), while live-streaming dominated conversion metrics (8.7%) despite higher costs. Treatment effects varied substantially by product type—experience-based offerings gained 9,234 CNY versus 5,467 CNY for food services—and exhibited pronounced distance decay, dropping from 8,967 CNY (<30 km) to 4,123 CNY (>60 km). Effects sustained at 78% of initial gains over 6 months, mediated primarily by platform engagement (β = 0.52). Discussion: Findings demonstrate that effective digital marketing in rural tourism requires strategic platform-product alignment rather than uniform adoption. Resource-constrained enterprises should prioritize short-video for awareness building and live-streaming for conversion, with platform selection contingent on product characteristics and geographic constraints. Copyright © 2025 Cheng and Jiang.","digital transformation; live-streaming e-commerce; rural entrepreneurship; rural tourism; social media marketing","","Y. Jiang; School of Information Engineering, Yangzhou University, YangZhou, China; email: dqmo7919@outlook.com","","Frontiers Media SA","2571581X","","","","English","Front. Sustain. food Syst.","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-105023713423"
"Chen Y.; Zhang T.; Li G.; Wang W.","Chen, Yan (59325816900); Zhang, Tao (57223781005); Li, Gang (56236122600); Wang, Wei (57143669900)","59325816900; 57223781005; 56236122600; 57143669900","The interaction between manufacturer's showroom deployment and online selling formats","2024","Transportation Research Part E: Logistics and Transportation Review","192","","103773","","","6","10.1016/j.tre.2024.103773","https://www.scopus.com/pages/publications/85203832786?origin=resultslist","School of Management and Economics, University of Electronic Science and Technology of China, Chengdu, 610054, China; School of Management, Xi'an Jiaotong University, The State Key Lab for Manufacturing Systems Engineering, The Key Lab of the Ministry of Education for Process Control & Efficiency Engineering, Xi'an, 710049, China","Chen Y., School of Management and Economics, University of Electronic Science and Technology of China, Chengdu, 610054, China; Zhang T., School of Management and Economics, University of Electronic Science and Technology of China, Chengdu, 610054, China; Li G., School of Management, Xi'an Jiaotong University, The State Key Lab for Manufacturing Systems Engineering, The Key Lab of the Ministry of Education for Process Control & Efficiency Engineering, Xi'an, 710049, China; Wang W., School of Management, Xi'an Jiaotong University, The State Key Lab for Manufacturing Systems Engineering, The Key Lab of the Ministry of Education for Process Control & Efficiency Engineering, Xi'an, 710049, China","Many manufacturers selling through online retail platforms are deploying physical showrooms to facilitate consumers’ learning about their products. To uncover the effects of the manufacturer-deployed showrooms on participants in a platform-based distribution channel, we establish a game-theoretic model wherein a manufacturer sells through an online retailer under either agency selling or wholesale selling, and consumers decide sequentially on showrooming and purchasing. We find that, firstly, despite the merits of showrooms in resolving consumers’ valuation uncertainty, the deployment of showrooms may unexpectedly engender more product returns (i.e., return exacerbation effect), which hurts the retailer under wholesale selling when the consumers’ travel cost is moderate. Second, the manufacturer under each selling format tends to benefit (suffer) from showrooms in the case of low (high) travel cost; in addition, the decrease in commission rate boosts the gain from showroom deployment, making the manufacturer under agency selling more likely to deploy showrooms, especially when the travel cost is moderate. Third, in anticipation of the manufacturer's (not) deploying showrooms and the corresponding profit impacts, the channel members may adopt varying preferences for the selling format. Notably, they have aligned preferences for agency selling with medium low commission rate, while neither prefers agency selling with relatively high commission rate and travel cost. This study sheds light on the flourishing practice of manufacturer-deployed showrooms, clarifying their impacts on the platform-based distribution channel. © 2024 Elsevier Ltd","Distribution channel; E-commerce; Physical showrooms; Selling format; Showrooming","Consumer valuations; Distribution channel; Game-theoretic model; On-line Selling; Online retails; Physical showroom; Selling format; Showrooming; Travel costs; Uncertainty; consumption behavior; electronic commerce; game theory; information and communication technology; Internet; manufacturing; model test; retailing; theoretical study; Marketplaces","T. Zhang; School of Management and Economics, University of Electronic Science and Technology of China, Chengdu, 610054, China; email: zhangtao@uestc.edu.cn","","Elsevier Ltd","13665545","","","","English","Transp. Res. Part E Logist. Transp. Rev.","Article","Final","","Scopus","2-s2.0-85203832786"
