Title,Year,Source title,topic
Practical relevance of innovativeness: a mixed-method field study on the role of strategic orientation and strategic learning in the hospitality industry,2025,Management and Sustainability,12
Research on the Impact of Digital Technology on Customer Experience and Loyalty in the Hotel Industry,2025,"Proceedings of 2025 2nd International Conference on Digital Society and Artificial Intelligence, DSAI 2025.",0
Don't Let the Payment Ruin the Dining Experience: Revisiting Digital Payments in Restaurants: A Socio-Technical Perspective on Payment Processes in Restaurants,2025,C and T 2025 - Proceedings of the 12th International Conference on Communities and Technologies,-1
Importance-Performance Analysis (IPA),2025,Theories and Models in Tourism and Hospitality Research,7
Toward trauma-informed customer experience design in tourism and hospitality,2025,Journal of Hospitality and Tourism Management,9
Revolutionizing Hospitality: The Rise of Contactless Technology in Restaurants and Hotels,2025,Future of Contactless Technology in Hotels and Restaurants,0
Immersive currents and futures: mapping the metaverse in contemporary hospitality and tourism research,2025,International Journal of Contemporary Hospitality Management,4
Exploring satisfaction with military catering services using the service quality model and importance-performance analysis,2025,International Journal of Systematic Innovation,-1
Effectively implementing technology in heritage hotels: Balancing tradition and technology,2025,International Journal of Hospitality Management,6
AI era in hospitality: The new frontier in guest satisfaction and operations,2025,"Digital Disruption in Hospitality, AI and Emerging Technologies: A Roadmap to Personalized Experiences, Enhanced Operations, and Revenue Growth",0
Integrating Symmetric and Asymmetric Causality: Theoretical Foundations of Structural Equation Modeling (SEM) and Fuzzy-Set Qualitative Comparative Analysis (fsQCA) in Tourism Research,2026,International Journal of Tourism Research,-1
Technological Mediation,2025,Theories and Models in Tourism and Hospitality Research,4
"Evaluation of a robotic restaurant management system with UI design, voice assistant, and machine learning integration",2025,Sigma Journal of Engineering and Natural Sciences,1
Humanizing the customer experience with AI chatbots: a study in the food services industry toward achieving SDG 11 and SDG 12,2026,Journal of Business and Socio-economic Development,0
Breaking the mold: Is there a gender stereotype when robot service failures happen?,2025,International Journal of Hospitality Management,1
Byte of Flavors: Empowering Nutrient Measurement and Food Accessibility via User-Centric Methods in Bangladesh,2026,Lecture Notes in Computer Science,14
Killing Two Birds with One Stone: The Study of User Engagement Influencing the Job Application Process,2025,Lecture Notes in Networks and Systems,-1
Online Travel Agent (OTA) and Customer Experience in the Hospitality Sector,2025,Digital Transformation in the Customer Experience,-1
Innovative interiors: an evaluation of guest perceptions and booking responses to robotic furniture in hotel rooms,2025,Journal of Hospitality and Tourism Insights,1
Exploring the impact of human-computer interaction on service robot adoption intention in the service industry,2026,International Journal of Hospitality Management,1
"Exploring Human-Robot Interaction in Hospitality: How Perceived Functionality, Sociality, and Risk Shape Customers' Usage Intention",2026,"Proceedings of 2025 2nd International Conference on Digital Economy and Computer Science, DECS 2025",1
Check-in to sustainability: a comparative study of green human resource management practices in emerging and established hotels,2026,Management of Environmental Quality,8
