"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Cited by","DOI","Link","Abstract","Author Keywords","Index Keywords","Document Type","Publication Stage","Open Access","Source","EID"
"Caporusso N.; Campan A.; Bhandari A.; Kroeger S.; Gautam S.","Caporusso, Nicholas (21734204500); Campan, Alina (13408689900); Bhandari, Ayush (59915223000); Kroeger, Stephen (60203691200); Gautam, Sarita (60203215000)","21734204500; 13408689900; 59915223000; 60203691200; 60203215000","BrandNERD: An Extensive Brand Dataset and Analysis Pipeline for Named Entity Resolution","2025","International Joint Conference on Knowledge Discovery, Knowledge Engineering and Knowledge Management, IC3K - Proceedings","1","","","481","488","0","10.5220/0013830600004000","https://www.scopus.com/pages/publications/105022473907?origin=resultslist","Named entity resolution (NER) comprises several steps to address multifaceted challenges, including canonicalization, aggregation, and validation. Nonetheless, NER research is hindered by the scarcity of realistic, labeled corpora that capture the spelling noise and brand proliferation found in data from multiple sources, from e-commerce to social media. In this paper, we introduce the Brand Name Entity Resolution Dataset (BrandNERD), an extensive dataset of real-world brand names extracted from an existing high-traffic retail marketplace. BrandNERD consists of multiple datasets along the entity resolution pipeline: raw surface forms, unique canonical entities, similarity clusters, validated brands, and a lookup table reconciling multiple canonical forms with a list of validated preferred brand labels. In addition to the BrandNERD dataset, our contribution includes an analysis of adequacy of various text similarity measures to the brand NER task at hand, the processing algorithms used in each step of the resolution process, and user interfaces and data visualization tools for manual reviews, resulting in a modular, fully reproducible, and extensible pipeline that reflects the complete NER workflow. BrandNERD, which is released as a public repository, contains the dataset and processing pipeline for over 390,000 raw brand names. The repository is continuously updated with new data and improved NER algorithms, making it a living resource for research in marketing and machine learning, and for enabling more complex downstream tasks such as entity disambiguation and brand sentiment analysis. Copyright © 2025 by SCITEPRESS – Science and Technology Publications, Lda.","Brand Canonicalization; Named Entity Resolution; String Pattern Matching; Text Mining","Clustering algorithms; Data visualization; Electronic commerce; Information systems; Information use; Knowledge management; Learning algorithms; Learning systems; Machine learning; Marketing; Pattern matching; Pipeline processing systems; Pipelines; Sentiment analysis; Text mining; User interfaces; Brand canonicalization; Brand names; Canonicalization; E- commerces; Entity resolutions; Multiple source; Named entities; Named entity resolution; String pattern matching; Text-mining; Table lookup","Conference paper","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-105022473907"
"Smitha K.; Bhoomika C.V.; Siddikha A.; Gagana K.","Smitha, K. (59701940600); Bhoomika, C.V. (60560054800); Siddikha, Ayesha (57195412478); Gagana, K. (59461679800)","59701940600; 60560054800; 57195412478; 59461679800","Women Empowerment through E- Commerce with AI","2025","16th International Conference on Advances in Computing, Control, and Telecommunication Technologies, ACT 2025","2","","","4583","4588","0","","https://www.scopus.com/pages/publications/105034849296?origin=resultslist","This project, ""Women Empowerment through E-Commerce with AI, ""aims to create a platform that foster entrepreneurial opportunities for women, providing the man exclusive space to sell products and build their own businesses. The platform leverages Artificial Intelligence (AI) to enhance experience with arrange of intelligent features. A chatbot is integrated to assist users by answering queries, guiding them through the platform, and helping with the purchasing process. To enhance sales and improve customer satisfaction, a recommendation system is employed that suggests complementary items to customers; for example, when a user selects a dress, the system recommends matching accessories such as bangles, earrings, and slippers. This recommendation engine, powered by AI, helps customers find complete sets, enriching the shopping experience and supporting women sellers by increasing visibility for their products. By using AI-driven automation and personalized. By using AI- driven automation and personalized experiences, this project not only supports women in business but also creates a community-driven e- commerce platform that promotes women's empowerment and entrepreneurship. While traditional e-commerce platforms have made it easier for individuals to sell products, they often fail to address the specific needs and challenges that women entrepreneurs face. For example, many e-commerce platforms are complex, difficult onavigate, or lack sufficient support for small-scale sellers. Additionally, these platforms do not provide personalized guidance or tailored resources that could help women succeed in a competitive online marketplace. This project aims to address these gaps by creating a dedicated e-commerce platform designed specifically for women entrepreneurs. By combining an intuitive platform with powerful AI-driven tools, the project provides women. © Grenze Scientific Society, 2025.","","Customer satisfaction; Electronic commerce; Recommender systems; Sales; Answering queries; Chatbots; Commerce platforms; Complete sets; Customers' satisfaction; E- commerces; Entrepreneurial opportunities; Matchings; Women empowerment; Women entrepreneurs; Artificial intelligence","Conference paper","Final","","Scopus","2-s2.0-105034849296"
"Huang Y.-H.; Chen C.-H.","Huang, Yu-Hsuan (58783372900); Chen, Chien-Hsiung (35200270400)","58783372900; 35200270400","Exploration of the Interface Usability for 3C Product E-commerce Website Designs","2024","International Conference on Electrical, Computer, and Energy Technologies, ICECET 2024","","","","","","0","10.1109/ICECET61485.2024.10698649","https://www.scopus.com/pages/publications/85207429825?origin=resultslist","With the popularization of Internet technology, B2C e-commerce has become an essential business design planning in almost all fields in the past decade. The COVID-19 outbreak has also driven people's demand for online sbopping and remote offices, dramatically increasing the demand for portable computing devices, such as notebook computers. Therefore, how to intuitively integrate complex notebook information into e-commerce website designs and provide users with a good usage experience has become a necessary research issue. This study aims to use usability testing to understand users' needs, preferences, and satisfaction in using 3C e-commerce websites. The results of this study will be used as a reference for the future design of 3C e-commerce websites. This study selected three 3C product e-commerce sample websites with notebooks on the market and adopted the one-way ANOV A as analytical tool. A total of 30 participants were invited to take part in the experiment. The research results revealed that: (1) There are many kinds of 3C product specifications, so the multiple filtering function is necessary. (2) To ensure the prominence and readability of critical functions, too many colors and flashing effects should not be used on the screen. (3) Product information should be divided into areas and presented in a list. (4) Icons accompany the text of critical functions could be used to help users intuitively and efficiently see their locations. (5) Using the same icons for related functions can enhance connectivity. (6) The retractable title button and detailed options can reduce the burden on users in reading information. © 2024 IEEE.","3C products; e-commerce; human-computer interaction; interface design; usability; user experience","Design for manufacturability; Human computer interaction; Marketplaces; Usability engineering; User experience; User interfaces; Web Design; 3c product; Computer interaction; Critical functions; E- commerces; E-commerce websites; Interface designs; Interface usability; Internet technology; Usability; Users' experiences; Laptop computers","Conference paper","Final","","Scopus","2-s2.0-85207429825"
"Willy; Wella","Willy (59718998300); Wella (57195938951)","59718998300; 57195938951","Examining Antecedents and Outcomes of Electronic Word-of-Mouth Adoption: An Empirical Study of Tokopedia Users","2024","Journal of Logistics, Informatics and Service Science","11","5","","411","429","0","10.33168/JLISS.2024.0524","https://www.scopus.com/pages/publications/105001618772?origin=resultslist","This study analyzed factors influencing eWOM information adoption of 211 Tokopedia users. Based on ELM and social influence theories, an eWOM research model was developed and tested using PLS-SEM. Key findings were that expertise, trustworthiness, objectivity, argument quality and information usefulness positively affected eWOM information adoption. Practical and theoretical implications include providing recommendations for Tokopedia to enhance review credibility and establish guidelines for e-commerce websites to facilitate informed purchase decisions. As one of the first studies to holistically examine eWOM antecedents and consequences in Indonesia’s rapidly growing e-commerce sector from the lens of Generation Y users, it contributes to advancement of theory and practice in this domain. © 2024, Success Culture Press. All rights reserved.","electronic word of mouth; marketplace; partial least square","","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-105001618772"
"Jiang M.; Yu J.; Zhao J.","Jiang, Meixia (59152401600); Yu, Jing (59392072700); Zhao, Jing (59391906500)","59152401600; 59392072700; 59391906500","A Study on the Impact of Economic Policies on Consumers’ Behavioral Intentions on Cross-border E-commerce Platforms","2024","Applied Mathematics and Nonlinear Sciences","9","1","20243002","","","0","10.2478/amns-2024-3002","https://www.scopus.com/pages/publications/85207945700?origin=resultslist","Given the expanding high-level opening to the outside world, there is a potential correlation between consumers’ behavioral patterns on cross-border e-commerce platforms and economic policies. This paper proposes a model for extracting consumer behavioral willingness features based on a convolutional neural network with sentence vector improvements, which optimizes the effect of cluster analysis on consumer behavioral willingness. The extraction model is utilized to extract consumer behavioral willingness features, and the outcomes demonstrate that the proportion of consumption and recommendation willingness is 47.65% and 52.05%, respectively, with a positive clustering effect. The regression results show that consumers’ behavioral willingness to cross-border e-commerce platforms increases with their preference for free trade and mixed trade policies, with an impact coefficient of 0.095 and 0.096. The degree of free trade simultaneously influences consumers’ willingness to recommend, with an impact coefficient of 0.154. However, the import substitution policy has an impact coefficient of -0.078, indicating that consumers are less likely to recommend cross-border e-commerce platforms to others. © 2024 Meixia Jiang, Jing Yu and Jing Zhao, published by Sciendo.","Consumer willingness; Cross-border e-commerce; Doc2vec; Economic policy; Regression analysis; Text-CNN","Consumer behavior; Convolutional neural networks; Commerce platforms; Consumer willingness; Cross-border; Cross-border e-commerce; Doc2vec; E- commerces; Economic policies; Free trade; Impact coefficients; Text-CNN; Marketplaces","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85207945700"
"Brovman Y.M.; Jacob M.; Srinivasan N.; Neola S.; Galron D.; Snyder R.","Brovman, Yuri M. (57191513856); Jacob, Marie (58252884100); Srinivasan, Natraj (57195924518); Neola, Stephen (57191519514); Galron, Daniel (57219755607); Snyder, Ryan (57191513854)","57191513856; 58252884100; 57195924518; 57191519514; 57219755607; 57191513854","Optimizing similar item recommendations in a semi-structured marketplace to maximize conversion","2016","RecSys 2016 - Proceedings of the 10th ACM Conference on Recommender Systems","","","","199","202","29","10.1145/2959100.2959166","https://www.scopus.com/pages/publications/84991229640?origin=resultslist","This paper tackles the problem of recommendations in eBay's large semi-structured marketplace. eBay's variable inven- tory and lack of structured information about listings makes traditional collaborative filtering algorithms difficult to use. We discuss how to overcome these data limitations to pro- duce high quality recommendations in real time with a com- bination of a customized scalable architecture as well as a widely applicable machine learned ranking model. A point- wise ranking approach is utilized to reduce the ranking prob- lem to a binary classification problem optimized on past user purchase behavior. We present details of a sampling strategy and feature engineering that have been critical to achieve a lift in both purchase through rate (PTR) and revenue. © 2016 Copyright held by the owner/author(s).","E-commerce; Learn-ing to rank; Machine learning; Recommender systems","Adversarial machine learning; Collaborative filtering algorithms; Data limitations; High quality; Learn+; Learn-ing to rank; Machine-learning; Real- time; Scalable architectures; Semi-structured; Structured information; Marketplaces","Conference paper","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-84991229640"
"Al-Barhamtoshy H.M.; Deabes R.M.; Baalamash F.A.","Al-Barhamtoshy, Hassanin M. (56192856700); Deabes, Rania M. (58240340600); Baalamash, Fardus A. (59790785500)","56192856700; 58240340600; 59790785500","Interactive AI for Advancing and Generating Women's Traditional Fashion in Saudi Arabia","2025","2025 2nd International Conference on Advanced Innovations in Smart Cities, ICAISC 2025","","","","","","2","10.1109/ICAISC64594.2025.10959690","https://www.scopus.com/pages/publications/105004552432?origin=resultslist","This research sought to safeguard the cultural legacy of women's traditional attire in the Kingdom of Saudi Arabia by developing a comprehensive digital platform for the collection and categorization of these costumes. The emphasis was placed on the Western region of Saudi Arabia, where a dataset of traditional garments was collected, compiled, and generated. Moreover, a specialized website was created to streamline the marketing and purchasing processes for these traditional outfits. The methodology integrated both descriptive-analytical and experimental approaches based on generative AI. Tools utilized in this research included an expert opinion survey aimed at understanding the requirements for implementing an artificial intelligence-based classification system for women's traditional clothing, as well as measuring user perceptions regarding the website's effectiveness in marketing Saudi Arabia's traditional wear. Additionally, questionnaires were distributed to gather input from specialists concerning the classification system and its related website, focusing on advancing production and marketing strategies. Users' feedback on both the AI-driven classification system and the website was also collected. Key findings indicated that it is viable to preserve cultural heritage represented by traditional garments from Saudi Arabia's western region through their collection and organization within an AI-based framework. Furthermore, this study highlighted opportunities for promoting and selling traditional fashion via a website equipped with an AI classification system. The AI-driven classification system demonstrated remarkable accuracy, approaching 97%, with an error rate of around 3.15%. The conclusion includes recommendations for sharing this system with fashion houses interested in producing traditional women's clothing in Saudi Arabia, along with providing access to databases that could assist in designing and manufacturing such apparel.  © 2025 IEEE.","artificial intelligence; e-commerce websites; machine learning; traditional clothing","Expert systems; Garment industry; Hosiery manufacture; Marketplaces; Sales; Strategic planning; Transfer learning; Analytical approach; Classification system; Digital platforms; E-commerce websites; Experimental approaches; Kingdom of Saudi Arabia; Machine-learning; Saudi Arabia; Traditional clothing; Western region; Clothes","Conference paper","Final","","Scopus","2-s2.0-105004552432"
"Rajput A.; Jaiwani M.; Singh S.; Gandhi A.; Gopalkrishnan S.","Rajput, Aditi (58397462000); Jaiwani, Megha (57957846500); Singh, Saumya (58115858900); Gandhi, Aradhana (56205598600); Gopalkrishnan, Santosh (56728443400)","58397462000; 57957846500; 58115858900; 56205598600; 56728443400","Influencer Marketing Redefined: The Era of AI-Powered Personalization","2024","Proceedings - 2024 International of Seminar on Application for Technology of Information and Communication: Smart And Emerging Technology for a  Better Life, iSemantic 2024","","","","482","488","5","10.1109/iSemantic63362.2024.10762409","https://www.scopus.com/pages/publications/85213346582?origin=resultslist","Integrating Artificial Intelligence (AI) with social media algorithms is pivotal in optimizing content visibility and engagement across platforms. By leveraging AI's analytical power, marketers can predict which content will perform best, aligning campaigns with audience preferences and boosting success rates. This study investigates the impact of AI-driven personalized content on customer engagement and purchase intentions in the marketing industry. We examined how AI-driven personalization maximizes customer engagement and influences purchasing behavior through surveys administered to 322 followers who consume social media content and have purchased products through that content or social media influencers. The research highlights the positive interactions between influencers and followers, demonstrating the significant impact of tailored content on brand awareness and consumer decision-making. These insights are valuable for influencers, marketers, and customers. Influencers can refine their content strategies to engage their audience better, resulting in stronger follower relationships and increased influence. Marketers gain a deeper understanding of how AI personalization can enhance campaign effectiveness, leading to higher customer engagement and sales. Customers benefit from more relevant and appealing content, improving their overall experience and satisfaction. The findings of the study could be utilized by marketers to improve influencer campaigns, elevate customer engagement, and bolster brand awareness, driving sales in the digital marketing environment. © 2024 IEEE.","AI Personalization; Brand Awareness; E-Commerce; Influencer marketing; Marketing Experience; Purchase Intent","Commerce; Customer satisfaction; Marketplaces; Purchasing; Artificial intelligence personalization; Brand awareness; Influencer marketing; Marketing experience; Personalizations; Personalized content; Power marketers; Purchase intention; Purchase intents; Social media; Sales","Conference paper","Final","","Scopus","2-s2.0-85213346582"
"Batubara C.; Rokan M.K.; Manaf M.F.B.A.; Sukiati; Harahap I.","Batubara, Chuzaimah (58035915200); Rokan, Mustafa Kamal (60514622700); Manaf, Muhammad Firdaus Bin Abdul (59344118700); Sukiati (57200657398); Harahap, Isnaini (58035593400)","58035915200; 60514622700; 59344118700; 57200657398; 58035593400","Realizing Justice and Maṣlaḥah in E-Commerce: Fiqh Muamalah Insights and Challenges in Malaysia and Indonesia","2024","Juris: Jurnal Ilmiah Syariah","23","2","","253","267","10","10.31958/juris.v23i2.12356","https://www.scopus.com/pages/publications/85205006614?origin=resultslist","This study explores how fiqh muamalah principles can realise justice and maṣlaḥah in e-commerce practices, focusing on the understanding and behavior of consumers and producers in Malaysia and Indonesia. The research investigates how these Islamic legal principles are integrated and practised within the digital marketplace. The primary data sources include e-commerce users from Malaysia and Indonesia, specifically consumers and producers. Data were collected through in-depth interviews with various e-commerce users, including consumers and producers. The results reveal that producers generally have a higher awareness of justice and ma maṣlaḥah in e-commerce, though their application of these principles varies. Consumers' experiences are inconsistent, often influenced by their educational background and exposure to Islamic commerce teachings. Key challenges include the lack of standardized guidelines and divergent interpretations of fiqh muamalah principles. The study underscores the need for more structured education and regulatory frameworks to ensure these principles' effective and consistent integration into e-commerce practices. Recommendations include developing comprehensive training programs and establishing clear guidelines to bridge the gap between understanding and practice, thereby aligning e-commerce practices in Malaysia and Indonesia with fiqh muamalah principles. © 2024, Universitas Islam Negeri Mahmud Yunus Batusangkar. All rights reserved.","Consumer Behaviour; E-Commerce; Islamic Principles; Justice; Maṣlaḥah; Producer Behaviour","","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85205006614"
"Swetha T.; Roopa R.; Sajitha T.; Vidhyashree B.; Sravani J.; Praveen B.","Swetha, Thammisetty (57205732383); Roopa, R. (57194222872); Sajitha, Tirumalaiahgari (59129345300); Vidhyashree, B. (57771733300); Sravani, Jampala (59129345700); Praveen, Bachu (59129724800)","57205732383; 57194222872; 59129345300; 57771733300; 59129345700; 59129724800","Forecasting Online Shoppers Purchase Intentions with Cat Boost Classifier","2024","International Conference on Distributed Computing and Optimization Techniques, ICDCOT 2024","","","","","","12","10.1109/ICDCOT61034.2024.10515309","https://www.scopus.com/pages/publications/85193276538?origin=resultslist","Online shopping refers to the process of purchasing goods or services over the internet from e-commerce websites or online marketplaces allowing consumers to browse, select, and buy products without physically visiting a store.Users do not necessarily visit e-commerce sites with a buy purpose, but rather to browse and engage with things before leaving without generating cash for the firm. This is the challenge that every e-commerce faces. To solve this challenge it is necessary to predict the purchasing intentions of online shoppers for focusing on interested customers and generating income in the future.After knowing customer intention(buy or not buy) it is easy to generate individualized product recommendations, offer discounts, and perform numerous interventions to improve the overall customer experience.Predicting customer purchase behavior ahead of time is difficult. In this study,a proposed system is build to predict the online shoppers intention (buy or not buy) by analyzing different classification algorithms such as Random Forest, Decision Tree, Support Vector Machine, Gradient Boosting, Ada Boosting, LightGBM, Cat Boost. The experiments were performed on online shoppers intention dataset. Experimental results show that Cat Boost classifier with hyperparameter tuning can predict with highest accuracy, which is 98.73%.  © 2024 IEEE.","Cat Boost; Classification Algorithms; Hyperparameter tuning; Purchase Intention Prediction","Adaptive boosting; Electronic commerce; Forecasting; Purchasing; Sales; Support vector machines; Cat boost; Classification algorithm; E-commerce websites; Hyper-parameter; Hyperparameter tuning; Intention predictions; Online shopping; Online shops; Purchase intention; Purchase intention prediction; Decision trees","Conference paper","Final","","Scopus","2-s2.0-85193276538"
