"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Cited by","DOI","Link","Abstract","Author Keywords","Index Keywords","Document Type","Publication Stage","Open Access","Source","EID"
"Caporusso N.; Campan A.; Bhandari A.; Kroeger S.; Gautam S.","Caporusso, Nicholas (21734204500); Campan, Alina (13408689900); Bhandari, Ayush (59915223000); Kroeger, Stephen (60203691200); Gautam, Sarita (60203215000)","21734204500; 13408689900; 59915223000; 60203691200; 60203215000","BrandNERD: An Extensive Brand Dataset and Analysis Pipeline for Named Entity Resolution","2025","International Joint Conference on Knowledge Discovery, Knowledge Engineering and Knowledge Management, IC3K - Proceedings","1","","","481","488","0","10.5220/0013830600004000","https://www.scopus.com/pages/publications/105022473907?origin=resultslist","Named entity resolution (NER) comprises several steps to address multifaceted challenges, including canonicalization, aggregation, and validation. Nonetheless, NER research is hindered by the scarcity of realistic, labeled corpora that capture the spelling noise and brand proliferation found in data from multiple sources, from e-commerce to social media. In this paper, we introduce the Brand Name Entity Resolution Dataset (BrandNERD), an extensive dataset of real-world brand names extracted from an existing high-traffic retail marketplace. BrandNERD consists of multiple datasets along the entity resolution pipeline: raw surface forms, unique canonical entities, similarity clusters, validated brands, and a lookup table reconciling multiple canonical forms with a list of validated preferred brand labels. In addition to the BrandNERD dataset, our contribution includes an analysis of adequacy of various text similarity measures to the brand NER task at hand, the processing algorithms used in each step of the resolution process, and user interfaces and data visualization tools for manual reviews, resulting in a modular, fully reproducible, and extensible pipeline that reflects the complete NER workflow. BrandNERD, which is released as a public repository, contains the dataset and processing pipeline for over 390,000 raw brand names. The repository is continuously updated with new data and improved NER algorithms, making it a living resource for research in marketing and machine learning, and for enabling more complex downstream tasks such as entity disambiguation and brand sentiment analysis. Copyright © 2025 by SCITEPRESS – Science and Technology Publications, Lda.","Brand Canonicalization; Named Entity Resolution; String Pattern Matching; Text Mining","Clustering algorithms; Data visualization; Electronic commerce; Information systems; Information use; Knowledge management; Learning algorithms; Learning systems; Machine learning; Marketing; Pattern matching; Pipeline processing systems; Pipelines; Sentiment analysis; Text mining; User interfaces; Brand canonicalization; Brand names; Canonicalization; E- commerces; Entity resolutions; Multiple source; Named entities; Named entity resolution; String pattern matching; Text-mining; Table lookup","Conference paper","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-105022473907"
"Correia D.M.; Teixeira L.; Marques J.L.","Correia, Diogo Mendes (57226055790); Teixeira, Leonor (22434117100); Marques, João Lourenço (55600379800)","57226055790; 22434117100; 55600379800","The hourglass model: From consumer’s behavior to delivery","2021","Proceedings of the International Conference on Industrial Engineering and Operations Management","","","","1357","1386","2","","https://www.scopus.com/pages/publications/85114238225?origin=resultslist","Through an empirical study of 74 Portuguese e-commerce brands, from the fashion, cosmetics, supplements, jewelry, beverages, utilities, orthopedics, book, sports, technology, decoration, pet, printing, and flowers’ sectors, it was noticed that consumers still do not have the possibility to personalize their products neither to request immediate deliveries or choose an exact delivery time. Nowadays, the Industry is striving to allow consumers to buy the product they want, as they wish, and be delivered in the time and place they choose. The purchase personalization and the supply chain’s arrangement to attend to the demand are expected to be increasingly based on predictive analytics. Prediction shall guide the definition of the supply chain. Moreover, the collaboration between stakeholders through an open marketplace is required to fulfill clients’ needs and desires. Given the observed facts and empirical evidence, this paper highlights the importance of integrating manufacturing and delivery, supported by an Hourglass shared economy prediction-oriented supply chain model. © IEOM Society International.","And Smart Cities; Hourglass Model; Industry 4.0; Smart Manufacturing; Supply Chain","","Conference paper","Final","","Scopus","2-s2.0-85114238225"
"Willy; Wella","Willy (59718998300); Wella (57195938951)","59718998300; 57195938951","Examining Antecedents and Outcomes of Electronic Word-of-Mouth Adoption: An Empirical Study of Tokopedia Users","2024","Journal of Logistics, Informatics and Service Science","11","5","","411","429","0","10.33168/JLISS.2024.0524","https://www.scopus.com/pages/publications/105001618772?origin=resultslist","This study analyzed factors influencing eWOM information adoption of 211 Tokopedia users. Based on ELM and social influence theories, an eWOM research model was developed and tested using PLS-SEM. Key findings were that expertise, trustworthiness, objectivity, argument quality and information usefulness positively affected eWOM information adoption. Practical and theoretical implications include providing recommendations for Tokopedia to enhance review credibility and establish guidelines for e-commerce websites to facilitate informed purchase decisions. As one of the first studies to holistically examine eWOM antecedents and consequences in Indonesia’s rapidly growing e-commerce sector from the lens of Generation Y users, it contributes to advancement of theory and practice in this domain. © 2024, Success Culture Press. All rights reserved.","electronic word of mouth; marketplace; partial least square","","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-105001618772"
"Pokrovskaya A.","Pokrovskaya, Anna (58643182800)","58643182800","Infringement of Photographic Works on Marketplaces: A Study of the Chinese Experience","2025","Journal of Intellectual Property Rights","30","3","","285","294","0","10.56042/jipr.v30i3.8484","https://www.scopus.com/pages/publications/105007732799?origin=resultslist","This article aims to provide an extensive analysis of the Chinese experience regarding the infringement of photographic works on marketplaces, offering valuable insights into the causes, scale, and implications of this pervasive issue. It explores the challenges faced by photographers in protecting their intellectual property rights, the effectiveness (or lack thereof) of marketplace policies and enforcement mechanisms, and the role of technological advancements, such as content filtering algorithms, in tackling infringement issues. Moreover, this study investigates the economic consequences of photographic copyright infringement on photographers, marketplace platforms, and the image licensing ecosystem as a whole. By analyzing the financial impact, including potential revenue losses, reduced market competitiveness, and implications for artistic innovation, this research sheds light on the urgency of addressing the issue and implementing effective preventive measures. Overall, this article provides a comprehensive understanding of the infringement of photographic works on marketplaces, with a specific focus on the Chinese experience. It contributes to the existing literature on copyright protection and online marketplace governance, aiming to raise awareness, inform policy decisions, and guide future research in combating this pressing issue within the photography industry. © 2025, National Institute of Science Communication and Policy Research. All rights reserved.","Copyright Infringement; Digital Age; E-commerce; Marketplaces; Photographic Works","","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-105007732799"
"Al-Barhamtoshy H.M.; Deabes R.M.; Baalamash F.A.","Al-Barhamtoshy, Hassanin M. (56192856700); Deabes, Rania M. (58240340600); Baalamash, Fardus A. (59790785500)","56192856700; 58240340600; 59790785500","Interactive AI for Advancing and Generating Women's Traditional Fashion in Saudi Arabia","2025","2025 2nd International Conference on Advanced Innovations in Smart Cities, ICAISC 2025","","","","","","2","10.1109/ICAISC64594.2025.10959690","https://www.scopus.com/pages/publications/105004552432?origin=resultslist","This research sought to safeguard the cultural legacy of women's traditional attire in the Kingdom of Saudi Arabia by developing a comprehensive digital platform for the collection and categorization of these costumes. The emphasis was placed on the Western region of Saudi Arabia, where a dataset of traditional garments was collected, compiled, and generated. Moreover, a specialized website was created to streamline the marketing and purchasing processes for these traditional outfits. The methodology integrated both descriptive-analytical and experimental approaches based on generative AI. Tools utilized in this research included an expert opinion survey aimed at understanding the requirements for implementing an artificial intelligence-based classification system for women's traditional clothing, as well as measuring user perceptions regarding the website's effectiveness in marketing Saudi Arabia's traditional wear. Additionally, questionnaires were distributed to gather input from specialists concerning the classification system and its related website, focusing on advancing production and marketing strategies. Users' feedback on both the AI-driven classification system and the website was also collected. Key findings indicated that it is viable to preserve cultural heritage represented by traditional garments from Saudi Arabia's western region through their collection and organization within an AI-based framework. Furthermore, this study highlighted opportunities for promoting and selling traditional fashion via a website equipped with an AI classification system. The AI-driven classification system demonstrated remarkable accuracy, approaching 97%, with an error rate of around 3.15%. The conclusion includes recommendations for sharing this system with fashion houses interested in producing traditional women's clothing in Saudi Arabia, along with providing access to databases that could assist in designing and manufacturing such apparel.  © 2025 IEEE.","artificial intelligence; e-commerce websites; machine learning; traditional clothing","Expert systems; Garment industry; Hosiery manufacture; Marketplaces; Sales; Strategic planning; Transfer learning; Analytical approach; Classification system; Digital platforms; E-commerce websites; Experimental approaches; Kingdom of Saudi Arabia; Machine-learning; Saudi Arabia; Traditional clothing; Western region; Clothes","Conference paper","Final","","Scopus","2-s2.0-105004552432"
"Rajput A.; Jaiwani M.; Singh S.; Gandhi A.; Gopalkrishnan S.","Rajput, Aditi (58397462000); Jaiwani, Megha (57957846500); Singh, Saumya (58115858900); Gandhi, Aradhana (56205598600); Gopalkrishnan, Santosh (56728443400)","58397462000; 57957846500; 58115858900; 56205598600; 56728443400","Influencer Marketing Redefined: The Era of AI-Powered Personalization","2024","Proceedings - 2024 International of Seminar on Application for Technology of Information and Communication: Smart And Emerging Technology for a  Better Life, iSemantic 2024","","","","482","488","5","10.1109/iSemantic63362.2024.10762409","https://www.scopus.com/pages/publications/85213346582?origin=resultslist","Integrating Artificial Intelligence (AI) with social media algorithms is pivotal in optimizing content visibility and engagement across platforms. By leveraging AI's analytical power, marketers can predict which content will perform best, aligning campaigns with audience preferences and boosting success rates. This study investigates the impact of AI-driven personalized content on customer engagement and purchase intentions in the marketing industry. We examined how AI-driven personalization maximizes customer engagement and influences purchasing behavior through surveys administered to 322 followers who consume social media content and have purchased products through that content or social media influencers. The research highlights the positive interactions between influencers and followers, demonstrating the significant impact of tailored content on brand awareness and consumer decision-making. These insights are valuable for influencers, marketers, and customers. Influencers can refine their content strategies to engage their audience better, resulting in stronger follower relationships and increased influence. Marketers gain a deeper understanding of how AI personalization can enhance campaign effectiveness, leading to higher customer engagement and sales. Customers benefit from more relevant and appealing content, improving their overall experience and satisfaction. The findings of the study could be utilized by marketers to improve influencer campaigns, elevate customer engagement, and bolster brand awareness, driving sales in the digital marketing environment. © 2024 IEEE.","AI Personalization; Brand Awareness; E-Commerce; Influencer marketing; Marketing Experience; Purchase Intent","Commerce; Customer satisfaction; Marketplaces; Purchasing; Artificial intelligence personalization; Brand awareness; Influencer marketing; Marketing experience; Personalizations; Personalized content; Power marketers; Purchase intention; Purchase intents; Social media; Sales","Conference paper","Final","","Scopus","2-s2.0-85213346582"
"Batubara C.; Rokan M.K.; Manaf M.F.B.A.; Sukiati; Harahap I.","Batubara, Chuzaimah (58035915200); Rokan, Mustafa Kamal (60514622700); Manaf, Muhammad Firdaus Bin Abdul (59344118700); Sukiati (57200657398); Harahap, Isnaini (58035593400)","58035915200; 60514622700; 59344118700; 57200657398; 58035593400","Realizing Justice and Maṣlaḥah in E-Commerce: Fiqh Muamalah Insights and Challenges in Malaysia and Indonesia","2024","Juris: Jurnal Ilmiah Syariah","23","2","","253","267","10","10.31958/juris.v23i2.12356","https://www.scopus.com/pages/publications/85205006614?origin=resultslist","This study explores how fiqh muamalah principles can realise justice and maṣlaḥah in e-commerce practices, focusing on the understanding and behavior of consumers and producers in Malaysia and Indonesia. The research investigates how these Islamic legal principles are integrated and practised within the digital marketplace. The primary data sources include e-commerce users from Malaysia and Indonesia, specifically consumers and producers. Data were collected through in-depth interviews with various e-commerce users, including consumers and producers. The results reveal that producers generally have a higher awareness of justice and ma maṣlaḥah in e-commerce, though their application of these principles varies. Consumers' experiences are inconsistent, often influenced by their educational background and exposure to Islamic commerce teachings. Key challenges include the lack of standardized guidelines and divergent interpretations of fiqh muamalah principles. The study underscores the need for more structured education and regulatory frameworks to ensure these principles' effective and consistent integration into e-commerce practices. Recommendations include developing comprehensive training programs and establishing clear guidelines to bridge the gap between understanding and practice, thereby aligning e-commerce practices in Malaysia and Indonesia with fiqh muamalah principles. © 2024, Universitas Islam Negeri Mahmud Yunus Batusangkar. All rights reserved.","Consumer Behaviour; E-Commerce; Islamic Principles; Justice; Maṣlaḥah; Producer Behaviour","","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85205006614"
"Saini K.; Singh A.","Saini, Kapil (58767381000); Singh, Ajmer (57192272026)","58767381000; 57192272026","Data-Driven Strategies for Improving Customer Engagement and Retention in E-commerce","2024","Proceedings - 2024 1st International Conference on Technological Innovations and Advance Computing, TIACOMP 2024","","","","499","506","0","10.1109/TIACOMP64125.2024.00089","https://www.scopus.com/pages/publications/85212053165?origin=resultslist","The dynamic realm of e-commerce places a premium on customer interaction and retention. The present research delves into data-driven tactics aimed at augmenting client experiences and cultivating sustainable virtual connections. It explores how client data and website analytics are used to discover preferences and behaviours, resulting in customer-centric insights. A concise approach to data analysis makes it easier to understand complex customer interactions using a range of analytics methods, with a focus on moral behaviour. A suggested small-scale experiment evaluates how customised email recommendations affect user engagement, highlighting the value of personalisation. Techniques including segmentation, personalisation systems, chatbots, automated service, and loyalty programmes are highlighted by empirical research, which validates their role in fostering consumer loyalty and demonstrates their revolutionary potential in practical settings. Results indicate that customized emails outperform traditional methods, showcasing scalability and informing strategy. Analysis provides valuable insights for e-commerce practitioners, and although the paper points out its own limitations, it sets the stage for further research into these complex, data-centric consumer engagement pathways. The study aims to guide businesses in forging lasting digital partnerships and navigating market changes. © 2024 IEEE.","e-commerce; hybrid recommender system; recommendation system; soft computing; user satisfaction","Customer satisfaction; Recommender systems; Sales; Analytic method; Customer retention; Customer-centric; Customers interactions; Data driven; E- commerces; Hybrid recommender systems; Soft-Computing; Users' satisfactions; Virtual connections; Marketplaces","Conference paper","Final","","Scopus","2-s2.0-85212053165"
"Qi J.; Zhang Z.; Jeon S.; Zhou Y.","Qi, Jiayin (13408299900); Zhang, Zhenping (56515779000); Jeon, Seongmin (55355072100); Zhou, Yanquan (12761881300)","13408299900; 56515779000; 55355072100; 12761881300","Mining customer requirements from online reviews: A product improvement perspective","2016","Information and Management","53","8","","951","963","335","10.1016/j.im.2016.06.002","https://www.scopus.com/pages/publications/84997191054?origin=resultslist","Big data commerce has become an e-commerce trend. Learning how to extract valuable and real time insights from big data to drive smarter and more profitable business decisions is a main task of big data commerce. Using online reviews as an example, manufacturers have come to value how to select helpful online reviews and what can be learned from online reviews for new product development. In this research, we first proposed an automatic filtering model to predict the helpfulness of online reviews from the perspective of the product designer. The KANO method, which is based on the classical conjoint analysis model, is then innovatively applied to analyze online reviews to develop appropriate product improvement strategies. Moreover, an empirical case study using the new method is conducted with the data we acquired from JD.com, one of the largest electronic marketplaces in China. The case study indicates the effectiveness and robustness of the proposed approach. Our research suggests that the combination of big data and classical management models can bring success for big data commerce. © 2016 Elsevier B.V.","Big data commerce; Conjoint analysis; KANO; Online review; Product design","Big data; Electronic commerce; Product design; Product development; Statistical methods; Conjoint analysis; Conjoint analysis models; Customer requirements; Electronic marketplaces; Empirical case studies; KANO; New product development; Online reviews; Digital storage","Article","Final","","Scopus","2-s2.0-84997191054"
"Ibrahim A.A.; Jiddah S.A.; Buhari M.","Ibrahim, Ahmed Abdullahi (58278038600); Jiddah, Salihu Adam (59320413100); Buhari, Muhammed (60357120400)","58278038600; 59320413100; 60357120400","Logistics management and e-commerce performance: A PLS-SEM analysis of Jumia operations, Abuja-Nigeria","2025","International Journal of Management and Sustainability","14","4","","1302","1318","0","10.18488/11.v14i4.4650","https://www.scopus.com/pages/publications/105028886208?origin=resultslist","E-commerce performance is increasingly crucial in Nigeria’s rapidly expanding digital marketplace, yet logistics challenges persist, threatening the sustainability and competitiveness of leading firms like Jumia. Despite market growth, a gap exists in understanding how specific logistics management practices, particularly order processing and information flow, impact e-commerce performance in Abuja. This study aims to assess the effects of order processing and information flow on Jumia’s operational outcomes in Abuja, FCT. Employing a survey research design, data were collected from all 187 Jumia employees in Abuja using structured questionnaires. A partial least squares structural equation modeling (PLS-SEM) was used. Among the key findings, it is notable that the efficient processing of orders has a strong positive influence on Jumia's performance, increasing customer satisfaction and repeat purchases. Conversely, information flow within this study had a highly negative effect on performance, attributed to information overload and inefficiencies. It is not about the quantity or speed of information flow but its quality and management, contrasting traditional expectations. This observation indicates that Jumia’s logistics operations urgently need enhancement in information filtering and processing to maximize performance. Based on these insights, the study proposes that Jumia Nigeria should adopt new order management systems, streamline warehouse activities, and provide specialized staff training. Additionally, it is important to establish effective information filtering systems and communication channels to report incidents. These steps are likely to improve operational effectiveness, customer satisfaction, and the company's competitive position in Nigeria’s e-commerce industry. © 2025 Conscientia Beam. All Rights Reserved.","Abuja-Nigeria; Information flow; Jumia; Logistics management; Order processing","","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-105028886208"
"Xu L.; Sun Y.; Hsu Y.-T.; Chiu Y.-L.","Xu, Li (60107930200); Sun, Yide (57778328000); Hsu, Yuan-Teng (56518883500); Chiu, Ya-Ling (57207233944)","60107930200; 57778328000; 56518883500; 57207233944","The effects of personalized recommendations on perceived switching costs: The mediation roles of customer satisfaction and habits","2025","Electronic Markets","35","1","80","","","0","10.1007/s12525-025-00829-0","https://www.scopus.com/pages/publications/105016619929?origin=resultslist","As e-commerce evolves, personalized recommendations have become essential for enhancing user experience and website stickiness, yet their impact on customer behavior remains unclear. This study examines how personalized recommendations affect perceived switching costs, focusing on the mediating roles of customer satisfaction and habits, and the moderating effects of consumption levels. Using structural equation modeling on Survey data from 512 Taobao users, findings reveal that personalized recommendations significantly enhance customer satisfaction and habit formation, which fully mediate their impact on perceived switching costs. Additionally, the influence of these mediators varies by consumption level: habits have a stronger effect on perceived switching costs in high-spending groups, while customer satisfaction is more pivotal for low-spending groups. These insights highlight the need for e-commerce platforms to tailor marketing strategies to different customer segments. The study also emphasizes balancing technological innovation, user experience, and consumer rights in the digital marketplace. © The Author(s), under exclusive licence to Institute of Applied Informatics at University of Leipzig 2025.","Customer satisfaction; Habits; Perceived switching costs; Personalized recommendations; Spending level","","Article","Final","","Scopus","2-s2.0-105016619929"
"Matthew D.; Hellianto G.R.; Putra N.S.; Sundjaja A.M.","Matthew, Darrell (57549523700); Hellianto, Garry R. (57202929630); Putra, Niko S. (57549906800); Sundjaja, Arta Moro (55858212100)","57549523700; 57202929630; 57549906800; 55858212100","The Effect of Monthly Promotion, Gamification, User Interface Usability Attractiveness on the Marketplace Repurchase Intention","2021","Proceedings - 3rd International Conference on Informatics, Multimedia, Cyber, and Information System, ICIMCIS 2021","","","","193","199","7","10.1109/ICIMCIS53775.2021.9699114","https://www.scopus.com/pages/publications/85127055343?origin=resultslist","This study aims to examine the determinant factors of e-commerce repurchase intention. The research design is a quantitative model. The sample size is 206 respondents, using purposive sampling. The respondents are Shopee e-commerce users in Indonesia. The data processing technique used is a linear regression model and processed using Statistical Package for the Social Sciences (SPSS) software for Windows version 25. The results of this study indicate that sales promotion and user interface influence consumer repurchase intention. The user interface is the variable with the most significant influence. Thus, to increase buyer visits and transactions on e-commerce, the user interface can be an essential input for developing e-commerce.  © 2021 IEEE.","Gamification; Monthly Promotion; Repurchase Intention in e-commerce; User Interface Attractiveness; User Interface Usability","Data handling; Electronic commerce; Linear regression; Sales; Social sciences computing; Determinant factors; E- commerces; Gamification; Interface usability; Monthly promotion; Repurchase intention; Repurchase intention in e-commerce; Research designs; User interface attractiveness; User interface usability; User interfaces","Conference paper","Final","","Scopus","2-s2.0-85127055343"
