"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Cited by","DOI","Link","Abstract","Author Keywords","Index Keywords","Document Type","Publication Stage","Open Access","Source","EID"
"Oliveira R.; Pereira I.V.; Santos J.D.; Torres A.; Pires P.B.","Oliveira, Ricardo (58305327000); Pereira, Inês Veiga (57571730200); Santos, José Duarte (57104249700); Torres, Ana (56659574400); Pires, Paulo Botelho (58106742900)","58305327000; 57571730200; 57104249700; 56659574400; 58106742900","Online Shopping Experience on Satisfaction and Loyalty on Luxury Brand Websites","2023","Smart Innovation, Systems and Technologies","337 SIST","","","757","769","0","10.1007/978-981-19-9099-1_52","https://www.scopus.com/pages/publications/85161219958?origin=resultslist","The internet massification and e-commerce growth that have been driven by “millennials” and the coronavirus pandemic cannot remain indifferent to luxury brands. These brands have had to adapt to e-commerce and develop an online shopping experience which satisfies its customers, so that they repeat purchase. Therefore, the main objective of this research is to understand the main impacts of shopping experience on luxury brand websites on satisfaction and loyalty. A model which analyzes the relationship between the three constructs was developed and information was gathered through an online survey, from which resulted 356 valid answers. Through the analysis of data collected and using a structural equation model, using SmartPLS software, we realized that online shopping experience is positively related to satisfaction. Loyalty, in turn, is positively affected by brand satisfaction. This study makes an important contribution to luxury brands and to people in charge of marketing and online platforms selling luxury goods. It helps brands understand that enhancing online shopping experience can positively impact satisfaction and loyalty levels. © 2023, The Author(s), under exclusive license to Springer Nature Singapore Pte Ltd.","Loyalty; Luxury brands; Online shopping experience; Satisfaction; Websites","Coronavirus; Electronic commerce; Sales; Coronaviruses; E- commerces; Loyalty; Luxury brand; Millennials; Online shopping; Online shopping experience; Online surveys; Repeat purchase; Satisfaction; Websites","Conference paper","Final","","Scopus","2-s2.0-85161219958"
"Mysara S.; Deepa P.R.; Evangelyn S.J.W.; Devi S.S.","Mysara, S. (59407795000); Deepa, Poorna R. (59668473900); Evangelyn, Sandra J.W. (59407795100); Devi, Siamala S. (57211927816)","59407795000; 59668473900; 59407795100; 57211927816","Customer Churn Analysis and Risk Prediction in E-Commerce","2024","2nd IEEE International Conference on Advances in Information Technology, ICAIT 2024 - Proceedings","","","","","","1","10.1109/ICAIT61638.2024.10690353","https://www.scopus.com/pages/publications/85208829264?origin=resultslist","With global advancement, Information Technology has led to the growth of numerous Service Providers, which, in turn, has resulted in fierce competition between them. For Service Providers, the most prevalent obstacle is the handling of customer churn, retention, and satisfaction of customers for successful market sustenance. In today' s competitive market, predicting and managing churn is essential for businesses to identify different types of churners and take appropriate action to keep consumers and revenues. The goal of churn models is to detect early signs of customer attrition and identify those who are most likely to leave on their own will. This work proposes a way for assessing Machine Learning (ML) for classification. © 2024 IEEE.","Churn prediction; E-Commerce; Machine Learning (ML); Random Forest","Adversarial machine learning; Commerce; Competition; Customer satisfaction; Decision trees; Marketplaces; Risk assessment; Churn analysis; Churn predictions; Customer churns; Customer retention; Customers' satisfaction; Machine learning; Machine-learning; Random forests; Risk predictions; Service provider; Sales","Conference paper","Final","","Scopus","2-s2.0-85208829264"
"Xia H.; Wei X.; An W.; Zhang Z.J.; Sun Z.","Xia, Huosong (23391245900); Wei, Xiang (57218388107); An, Wuyue (57208760708); Zhang, Zuopeng Justin (57924154800); Sun, Zelin (57218384291)","23391245900; 57218388107; 57208760708; 57924154800; 57218384291","Design of electronic-commerce recommendation systems based on outlier mining","2021","Electronic Markets","31","2","","295","311","11","10.1007/s12525-020-00435-2","https://www.scopus.com/pages/publications/85089027561?origin=resultslist","Prior studies mostly consider outliers as noise data and eliminate them, resulting in the loss of outlier knowledge. Based on the existing technology of recommendation systems and outlier detection, this research develops a new e-commerce recommended model from the perspective of outlier knowledge management. Specifically, we apply outlier data mining and integrate local outlier coefficients into the recommendation algorithm. The experimental results show that the proposed outlier extent recommendation model performs better than the traditional recommendation systems based on the collaborative filtering algorithm, which can effectively improve the quality of recommendation, enhance customer satisfaction and loyalty, and create potential benefits for the business. Our study contributes to the design of e-commerce recommending systems with some novel ideas and provides useful guidelines for developing the outlier extent. © 2020, Institute of Applied Informatics at University of Leipzig.","Electronic-commerce; Local outlier Factor; Outlier extent model; Outlier factor; Outlier mining; Recommendation system","","Article","Final","","Scopus","2-s2.0-85089027561"
"Xie Y.; Zhang L.L.","Xie, Yilin (57221672147); Zhang, Linda L. (54947959800)","57221672147; 54947959800","Customer satisfaction with order fulfillment in e-retail supply chains in China: An empirical study","2020","IEEE International Conference on Industrial Engineering and Engineering Management","2020-December","","9309914","475","479","0","10.1109/IEEM45057.2020.9309914","https://www.scopus.com/pages/publications/85099759764?origin=resultslist","The Internet has changed the way how customers make their purchases and how retailers do business. With the development of B2C e-commerce, the retailers compete intensively to improve customer satisfaction and further secure their loyal customer bases. In this study, we investigate the relationship between customer satisfaction and customer loyalty in retail supply chains in B2C e-commerce in China. A conceptual model is developed to reveal the relationships and the factors influencing B2C e-customer satisfaction. Partial Least Squares is employed to assess the relationships between observable and unobservable variables and between unobservable variables. More specifically, SmartPLS is adopted to test and visualize the relationships. Based on the results, we suggest that e-retailers in China should improve their after-sales service activities and strengthen flexible and responsive order fulfillment activities in the hope of satisfying customers and further increasing loyal customer base.  © 2020 IEEE.","B2C e-commerce; Customer loyalty; Customer satisfaction; Order fulfillment process","Electronic commerce; Least squares approximations; Sales; Supply chains; After-sales services; Conceptual model; Customer loyalty; E-customer satisfactions; Empirical studies; Order fulfillment; Partial least square (PLS); Retail supply chain; Customer satisfaction","Conference paper","Final","","Scopus","2-s2.0-85099759764"
"Rachbini W.; Anggraeni D.; Wulanjani H.","Rachbini, Widarto (57210122554); Anggraeni, Diana (57486548800); Wulanjani, Harimurti (57222808361)","57210122554; 57486548800; 57222808361","The influence of electronic service quality and electronic word of mouth (eWOM) toward repurchase intention (study on e-commerce in Indonesia)","2021","Jurnal Komunikasi: Malaysian Journal of Communication","37","1","","42","58","17","10.17576/JKMJC-2021-3701-03","https://www.scopus.com/pages/publications/85104053569?origin=resultslist","Customer satisfaction is a vital component of service organisations that are significantly related to service quality. One of the electronic service quality that has to be prioritised, is website quality. Therefore, this study will determine the influence of electronic service quality and electronic word of mouth (eWOM) toward repurchase intention on e-commerce in Indonesia. Data were obtained from Google Form Online Questionnaires which were distributed through a short-link in WhatsApp, LINE, and Twitter applications during April 2019. This study applied the purposive sampling method where 458 qualified samples were matched to the specific criteria. Structural Equation Model (SEM) supported by LISREL software was used to analyse the data. The findings show that there are positive and significant influences of electronic service quality of pleasant and utilitarian dimensions to eWOM construction and repurchase intention. This research suggests managerial implication to e-commerce industry practitioners to reduce Tokopedia and also Instagram as the benchmark of electronic-based service quality. The managerial implication covers observing and adopting mobile application service quality aspects, service online review, and virtual communities. Besides, it is significantly suggested for future studies to explore more specific contexts of pleasant and utilitarian electronic service quality dimensions as in the B2B e-commerce, B2C e-commerce, and G2C e-commerce. © 2021, Penerbit Universiti Kebangsaan Malaysia. All rights reserved.","E-commerce; Electronic service quality; Ewom; Repurchase intention; Tokopedia","","Article","Final","All Open Access; Green Open Access","Scopus","2-s2.0-85104053569"
"Herliana S.; Aina Q.; Aliya Q.H.; Lawiyah N.","Herliana, Sri (56052320400); Aina, Qorri (56073385700); Aliya, Qonita Himaatul (57211753532); Lawiyah, Nur (57200581372)","56052320400; 56073385700; 57211753532; 57200581372","Customer loyalty factors strategy at E-Commerce Hijab Business: Frequency analysis method","2019","Academy of Entrepreneurship Journal","25","3","","","","3","","https://www.scopus.com/pages/publications/85074957571?origin=resultslist","Indonesia as a country with a large Muslim, also contributed a large number of hijab business making this business are in the red ocean realm. The competition is not just going offline but also online (e-commerce). Technological developments, especially in the social media are creating a wide range of business opportunities and business channels itself. This study used a descriptive study using quantitative data on 100 female respondents, randomly selected based on their qualifications, ever buying hijab fashion products through online. The purpose of this study was to formulate a strategy of customer loyalty to the brand hijab through e-commerce in depth based of customer loyalty and the variables in e-commerce that researcher research. Customer loyalty is one of the most important factors for maintaining customer satisfaction and increases their love for the product or service on the brand, especially in e-commerce channel. Consistent implementation of the strategy based on the variables of e-commerce of customer loyalty is paramount to build and develop customer loyalty strategy by companies of hijab fashion in e-commerce. © 2019, Allied Academies.","Customer Loyalty; Customer loyalty strategy; E-Commerce; Muslim Woman Fashion","","Article","Final","","Scopus","2-s2.0-85074957571"
"Lim S.H.; Kim D.J.","Lim, Se Hun (55039770600); Kim, Dan J. (23394997600)","55039770600; 23394997600","Does Emotional Intelligence of Online Shoppers Affect Their Shopping Behavior? From a Cognitive-Affective-Conative Framework Perspective","2020","International Journal of Human-Computer Interaction","36","14","","1304","1313","80","10.1080/10447318.2020.1739882","https://www.scopus.com/pages/publications/85082602305?origin=resultslist","Although many e-commerce researchers have studied consumers’ shopping behaviors with different perspectives, there is little evidence on whether psychological capital characteristics, such as emotional intelligence, affect online consumers’ shopping behaviors. To develop an effective marketing strategy of e-commerce companies, it is crucial to understand the impact of consumers’ psychological capital characteristics on their shopping behaviors. Using a cognition-affection-conation framework as an overarching theoretical foundation, this study explores the effect of emotional intelligence (EI) as one of the consumer’s psychological capital characteristics on online consumers’ value perceptions/shopping behaviors including shopping satisfaction, their continual intention to use the shopping site, and e-loyalty toward the site. Our empirical analysis results show consumers’ EI influences online consumers’ value perceptions (i.e., utilitarian and hedonic values of e-commerce) and shopping behaviors (i.e., satisfaction, continuous intention, and e-loyalty). We will discuss theoretical and practical contributions of the study. © 2020, © 2020 Taylor & Francis Group, LLC.","","Electronic commerce; Emotional intelligence; Empirical analysis; Intention to use; Marketing strategy; Online consumers; Psychological capitals; Shopping behavior; Theoretical foundations; Value perceptions; Consumer behavior","Article","Final","","Scopus","2-s2.0-85082602305"
"Li Z.; Wang B.; Prince O.; Le Texier T.; Addai-Dansoh S.","Li, Zhiwen (55626640800); Wang, Baojiao (57960741300); Prince, Owusu (59681941500); Le Texier, Thomas (36807284800); Addai-Dansoh, Stephen (57973309600)","55626640800; 57960741300; 59681941500; 36807284800; 57973309600","EXPLORING PERCEPTION OF PLATFORM LANGUAGE ON CONSUMER DECISION MAKING: A COGNITIVE LOAD PERSPECTIVE*","2025","Journal of Electronic Commerce Research","26","1","","50","68","4","","https://www.scopus.com/pages/publications/86000748019?origin=resultslist","The cognitive load theory, predominant in educational psychology, is gaining prominence in consumer decision-making studies. This study extends cognitive load dimensions to measure consumer perception of platform language and examine its influence on consumer satisfaction and subsequent decision-making across three studies. In Study 1, a between-subjects experiment found higher intrinsic and extraneous cognitive loads in consumers using a secondary language platform, but lower germane cognitive load compared to those using their native language. Study 2, a within-subjects experiment, reinforced these findings and showed higher satisfaction and repurchase intentions when using the native language platform. Study 3 utilized structural equation modeling to examine the relationship between platform language perception, cognitive loads, satisfaction, and repurchase intentions. Results indicated that intrinsic and extraneous cognitive loads negatively impacted consumer satisfaction and repurchase decisions, while germane cognitive load had a positive influence. These findings highlight the importance of optimizing cognitive load from the consumer perception of platform language to enhance consumer satisfaction and loyalty on e-commerce platforms. © (2024), (California State University). All Rights Reserved.","Cognitive load; Cognitive load theory; Consumer perception of platform language; Consumer satisfaction; Repurchase intention","","Article","Final","","Scopus","2-s2.0-86000748019"
"Saini K.; Singh A.","Saini, Kapil (58767381000); Singh, Ajmer (57192272026)","58767381000; 57192272026","Data-Driven Strategies for Improving Customer Engagement and Retention in E-commerce","2024","Proceedings - 2024 1st International Conference on Technological Innovations and Advance Computing, TIACOMP 2024","","","","499","506","1","10.1109/TIACOMP64125.2024.00089","https://www.scopus.com/pages/publications/85212053165?origin=resultslist","The dynamic realm of e-commerce places a premium on customer interaction and retention. The present research delves into data-driven tactics aimed at augmenting client experiences and cultivating sustainable virtual connections. It explores how client data and website analytics are used to discover preferences and behaviours, resulting in customer-centric insights. A concise approach to data analysis makes it easier to understand complex customer interactions using a range of analytics methods, with a focus on moral behaviour. A suggested small-scale experiment evaluates how customised email recommendations affect user engagement, highlighting the value of personalisation. Techniques including segmentation, personalisation systems, chatbots, automated service, and loyalty programmes are highlighted by empirical research, which validates their role in fostering consumer loyalty and demonstrates their revolutionary potential in practical settings. Results indicate that customized emails outperform traditional methods, showcasing scalability and informing strategy. Analysis provides valuable insights for e-commerce practitioners, and although the paper points out its own limitations, it sets the stage for further research into these complex, data-centric consumer engagement pathways. The study aims to guide businesses in forging lasting digital partnerships and navigating market changes. © 2024 IEEE.","e-commerce; hybrid recommender system; recommendation system; soft computing; user satisfaction","Customer satisfaction; Recommender systems; Sales; Analytic method; Customer retention; Customer-centric; Customers interactions; Data driven; E- commerces; Hybrid recommender systems; Soft-Computing; Users' satisfactions; Virtual connections; Marketplaces","Conference paper","Final","","Scopus","2-s2.0-85212053165"
"Balhareth H.; Al-Debei M.M.; Mgm J.; Shukri S.M.; Alsoud A.R.; Khatibi A.","Balhareth, Hamad (56299792200); Al-Debei, Mutaz M. (35753216500); Mgm, Johar (55378254600); Shukri, Shakeerah Mohd (59887505500); Alsoud, Anas Ratib (55711826000); Khatibi, Ali (26435824800)","56299792200; 35753216500; 55378254600; 59887505500; 55711826000; 26435824800","THE E-COMMERCE AND ONLINE MARKETING ERA: INTERNET SHOPPING RISKS","2021","International Journal of eBusiness and eGovernment Studies","13","2","","187","204","0","10.34109/ijebeg.202113211","https://www.scopus.com/pages/publications/85126661177?origin=resultslist","This study examined the effect of various risks on customer attitude, namely financial risks and return policy risks. Additionally, the effect of social media advertising on customer attitude was evaluated. This study examined these elements through a novel lens. A questionnaire was devised to collect data from hotel clients in Malaysia to do this. The questionnaire was developed for this purpose utilising questionnaires derived from previous investigations. Considering the study's nature, the research design was cross-sectional and the approach was quantitative. The data were sent individually to respondents via convenience sampling. The study's usable response rate was 66.9 percent. Smart Pls 3 was used to analyse the gathered data. The study's findings established a direct positive correlation between consumer attitude and loyalty. The studies indicated that financial risks, return policies, and social media advertising greatly impact customer sentiment. Additionally, the present study confirms the mediation impact of consumer attitude. This study attempts to address the theoretical gaps raised in the paper. The study's findings aid in developing new techniques. © 2021. All Rights Reserved.","Attitude; Financial Risk; Loyalty; Malaysia; Return policy","","Article","Final","","Scopus","2-s2.0-85126661177"
